counts	instances_pre	instances_post
1	60944314	60038729
2	13136877	13354535
3	2555711	2649285
4	512478	536908
5	83562	92336
6	22915	25983
7	2755	3885
8	3613	4186
9	548	847
10	583	797
11	43	187
12	522	605
13	19	67
14	57	110
15	35	68
16	80	105
17	1	23
18	42	64
19	3	17
20	42	59
21	2	17
22	2	11
23	0	7
24	6	11
25	1	6
26	0	4
27	0	5
28	2	5
29	0	4
30	6	7
31	0	3
32	0	6
33	0	2
34	0	1
35	0	3
36	0	3
37	0	1
38	0	1
39	0	1
41	0	1
44	0	1
46	0	2
50	0	1
52	0	2
57	0	1
59	0	2
60	0	1
69	0	1
83	0	1
95	0	1
281	0	1
299	0	1
416	0	1
580	0	1
1518	0	1
