## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT 04_groupUmis/bam/12_KB_B8.bam --OUTPUT 05_markDuplicates/bam/12_KB_B8.bam --METRICS_FILE 05_markDuplicates/log/12_KB_B8.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Aug 17 09:47:26 ACST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	28	79709089	7864556	0	16	17614857	0	0.220989	152662039

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	49627654	49627654
2.0	1.593257	9651926	9651926
3.0	1.945211	1950859	1950859
4.0	2.15401	476357	476357
5.0	2.277881	161199	161199
6.0	2.351369	74183	74183
7.0	2.394966	42153	42153
8.0	2.42083	26581	26581
9.0	2.436174	18049	18049
10.0	2.445277	12793	12793
11.0	2.450677	9365	9365
12.0	2.453881	7106	7106
13.0	2.455782	5606	5606
14.0	2.45691	4430	4430
15.0	2.457579	3533	3533
16.0	2.457975	2878	2878
17.0	2.458211	2364	2364
18.0	2.458351	2059	2059
19.0	2.458433	1710	1710
20.0	2.458483	1449	1449
21.0	2.458512	1274	1274
22.0	2.458529	1025	1025
23.0	2.458539	906	906
24.0	2.458545	787	787
25.0	2.458549	711	711
26.0	2.458551	619	619
27.0	2.458552	554	554
28.0	2.458553	510	510
29.0	2.458554	423	423
30.0	2.458554	379	379
31.0	2.458554	345	345
32.0	2.458554	332	332
33.0	2.458554	282	282
34.0	2.458554	257	257
35.0	2.458554	240	240
36.0	2.458554	235	235
37.0	2.458554	197	197
38.0	2.458554	182	182
39.0	2.458554	158	158
40.0	2.458554	171	171
41.0	2.458554	130	130
42.0	2.458554	134	134
43.0	2.458554	122	122
44.0	2.458554	111	111
45.0	2.458554	94	94
46.0	2.458554	97	97
47.0	2.458554	79	79
48.0	2.458554	104	104
49.0	2.458554	71	71
50.0	2.458554	71	71
51.0	2.458554	92	92
52.0	2.458554	70	70
53.0	2.458554	71	71
54.0	2.458554	50	50
55.0	2.458554	48	48
56.0	2.458554	49	49
57.0	2.458554	55	55
58.0	2.458554	36	36
59.0	2.458554	47	47
60.0	2.458554	37	37
61.0	2.458554	19	19
62.0	2.458554	37	37
63.0	2.458554	32	32
64.0	2.458554	29	29
65.0	2.458554	40	40
66.0	2.458554	28	28
67.0	2.458554	22	22
68.0	2.458554	17	17
69.0	2.458554	27	27
70.0	2.458554	21	21
71.0	2.458554	17	17
72.0	2.458554	24	24
73.0	2.458554	27	27
74.0	2.458554	26	26
75.0	2.458554	14	14
76.0	2.458554	10	10
77.0	2.458554	16	16
78.0	2.458554	14	14
79.0	2.458554	20	20
80.0	2.458554	15	15
81.0	2.458554	15	15
82.0	2.458554	9	9
83.0	2.458554	11	11
84.0	2.458554	17	17
85.0	2.458554	13	13
86.0	2.458554	7	7
87.0	2.458554	9	9
88.0	2.458554	7	7
89.0	2.458554	10	10
90.0	2.458554	7	7
91.0	2.458554	9	9
92.0	2.458554	10	10
93.0	2.458554	4	4
94.0	2.458554	7	7
95.0	2.458554	10	10
96.0	2.458554	8	8
97.0	2.458554	2	2
98.0	2.458554	8	8
99.0	2.458554	10	10
100.0	2.458554	5	5
101.0	0	9	9
102.0	0	5	5
103.0	0	4	4
104.0	0	1	1
105.0	0	7	7
106.0	0	5	5
107.0	0	6	6
108.0	0	4	4
109.0	0	3	3
110.0	0	4	4
111.0	0	2	2
112.0	0	6	6
113.0	0	3	3
114.0	0	2	2
115.0	0	2	2
116.0	0	6	6
117.0	0	2	2
118.0	0	2	2
119.0	0	3	3
120.0	0	2	2
121.0	0	5	5
122.0	0	1	1
123.0	0	1	1
124.0	0	3	3
126.0	0	4	4
127.0	0	3	3
128.0	0	3	3
129.0	0	2	2
130.0	0	1	1
132.0	0	2	2
133.0	0	1	1
134.0	0	2	2
136.0	0	1	1
137.0	0	3	3
138.0	0	4	4
139.0	0	1	1
140.0	0	4	4
141.0	0	1	1
143.0	0	1	1
145.0	0	1	1
147.0	0	2	2
148.0	0	2	2
150.0	0	1	1
152.0	0	2	2
154.0	0	1	1
158.0	0	2	2
159.0	0	2	2
161.0	0	5	5
162.0	0	2	2
163.0	0	1	1
164.0	0	1	1
165.0	0	1	1
166.0	0	1	1
168.0	0	1	1
170.0	0	3	3
171.0	0	4	4
172.0	0	2	2
173.0	0	1	1
175.0	0	2	2
178.0	0	2	2
180.0	0	1	1
181.0	0	1	1
182.0	0	1	1
184.0	0	2	2
186.0	0	1	1
188.0	0	1	1
189.0	0	1	1
191.0	0	2	2
193.0	0	1	1
194.0	0	1	1
198.0	0	1	1
202.0	0	2	2
203.0	0	1	1
204.0	0	1	1
209.0	0	1	1
211.0	0	1	1
213.0	0	2	2
215.0	0	1	1
245.0	0	1	1
247.0	0	1	1
248.0	0	1	1
269.0	0	1	1
276.0	0	1	1
295.0	0	1	1
296.0	0	1	1
320.0	0	1	1

