## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT 04_groupUmis/bam/19_KB_C3.bam --OUTPUT 05_markDuplicates/bam/19_KB_C3.bam --METRICS_FILE 05_markDuplicates/log/19_KB_C3.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Aug 17 09:47:26 ACST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	34	77472539	8317519	0	15	15601323	0	0.201379	165556585

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	51008765	51008765
2.0	1.626284	8499180	8499180
3.0	2.018515	1590822	1590822
4.0	2.264163	395348	395348
5.0	2.418008	143483	143483
6.0	2.514359	71154	71154
7.0	2.574701	42543	42543
8.0	2.612493	27544	27544
9.0	2.636162	19049	19049
10.0	2.650985	13689	13689
11.0	2.660268	10208	10208
12.0	2.666082	7956	7956
13.0	2.669723	6195	6195
14.0	2.672004	4762	4762
15.0	2.673432	4050	4050
16.0	2.674327	3287	3287
17.0	2.674887	2701	2701
18.0	2.675238	2316	2316
19.0	2.675457	1920	1920
20.0	2.675595	1630	1630
21.0	2.675681	1394	1394
22.0	2.675735	1210	1210
23.0	2.675769	1052	1052
24.0	2.67579	961	961
25.0	2.675803	833	833
26.0	2.675812	771	771
27.0	2.675817	676	676
28.0	2.67582	587	587
29.0	2.675822	528	528
30.0	2.675823	486	486
31.0	2.675824	397	397
32.0	2.675825	376	376
33.0	2.675825	380	380
34.0	2.675825	307	307
35.0	2.675825	310	310
36.0	2.675825	274	274
37.0	2.675826	242	242
38.0	2.675826	264	264
39.0	2.675826	223	223
40.0	2.675826	193	193
41.0	2.675826	198	198
42.0	2.675826	160	160
43.0	2.675826	145	145
44.0	2.675826	155	155
45.0	2.675826	134	134
46.0	2.675826	107	107
47.0	2.675826	108	108
48.0	2.675826	83	83
49.0	2.675826	124	124
50.0	2.675826	92	92
51.0	2.675826	91	91
52.0	2.675826	77	77
53.0	2.675826	81	81
54.0	2.675826	70	70
55.0	2.675826	61	61
56.0	2.675826	64	64
57.0	2.675826	62	62
58.0	2.675826	66	66
59.0	2.675826	45	45
60.0	2.675826	53	53
61.0	2.675826	51	51
62.0	2.675826	48	48
63.0	2.675826	45	45
64.0	2.675826	42	42
65.0	2.675826	52	52
66.0	2.675826	31	31
67.0	2.675826	47	47
68.0	2.675826	21	21
69.0	2.675826	29	29
70.0	2.675826	34	34
71.0	2.675826	29	29
72.0	2.675826	31	31
73.0	2.675826	29	29
74.0	2.675826	27	27
75.0	2.675826	31	31
76.0	2.675826	30	30
77.0	2.675826	18	18
78.0	2.675826	24	24
79.0	2.675826	22	22
80.0	2.675826	19	19
81.0	2.675826	14	14
82.0	2.675826	11	11
83.0	2.675826	9	9
84.0	2.675826	15	15
85.0	2.675826	14	14
86.0	2.675826	16	16
87.0	2.675826	18	18
88.0	2.675826	10	10
89.0	2.675826	12	12
90.0	2.675826	10	10
91.0	2.675826	9	9
92.0	2.675826	13	13
93.0	2.675826	13	13
94.0	2.675826	11	11
95.0	2.675826	8	8
96.0	2.675826	12	12
97.0	2.675826	7	7
98.0	2.675826	16	16
99.0	2.675826	6	6
100.0	2.675826	8	8
101.0	0	8	8
102.0	0	7	7
103.0	0	11	11
104.0	0	9	9
105.0	0	7	7
106.0	0	6	6
107.0	0	8	8
108.0	0	4	4
109.0	0	4	4
110.0	0	9	9
111.0	0	5	5
112.0	0	5	5
113.0	0	4	4
114.0	0	4	4
115.0	0	4	4
116.0	0	2	2
117.0	0	4	4
118.0	0	5	5
119.0	0	7	7
120.0	0	4	4
121.0	0	4	4
122.0	0	2	2
123.0	0	1	1
124.0	0	5	5
125.0	0	1	1
126.0	0	1	1
127.0	0	5	5
128.0	0	2	2
129.0	0	5	5
130.0	0	2	2
131.0	0	7	7
132.0	0	7	7
