## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT 04_groupUmis/bam/3_KB_A1.bam --OUTPUT 05_markDuplicates/bam/3_KB_A1.bam --METRICS_FILE 05_markDuplicates/log/3_KB_A1.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Aug 17 09:47:26 ACST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	33	87585423	9157237	0	19	25718460	0	0.293639	118234275

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	44536917	44536917
2.0	1.476743	12549822	12549822
3.0	1.704026	3288382	3288382
4.0	1.812382	889378	889378
5.0	1.86404	281410	281410
6.0	1.888667	115113	115113
7.0	1.900408	58838	58838
8.0	1.906005	35934	35934
9.0	1.908674	23952	23952
10.0	1.909946	16753	16753
11.0	1.910553	12291	12291
12.0	1.910842	9274	9274
13.0	1.91098	7401	7401
14.0	1.911045	5843	5843
15.0	1.911077	4724	4724
16.0	1.911092	3949	3949
17.0	1.911099	3172	3172
18.0	1.911102	2703	2703
19.0	1.911104	2163	2163
20.0	1.911105	1858	1858
21.0	1.911105	1627	1627
22.0	1.911105	1420	1420
23.0	1.911105	1259	1259
24.0	1.911105	1155	1155
25.0	1.911105	990	990
26.0	1.911105	849	849
27.0	1.911105	758	758
28.0	1.911105	664	664
29.0	1.911105	623	623
30.0	1.911105	556	556
31.0	1.911105	477	477
32.0	1.911105	459	459
33.0	1.911105	422	422
34.0	1.911105	398	398
35.0	1.911105	369	369
36.0	1.911105	306	306
37.0	1.911105	300	300
38.0	1.911105	245	245
39.0	1.911105	230	230
40.0	1.911105	235	235
41.0	1.911105	205	205
42.0	1.911105	192	192
43.0	1.911105	161	161
44.0	1.911105	174	174
45.0	1.911105	152	152
46.0	1.911105	140	140
47.0	1.911105	129	129
48.0	1.911105	104	104
49.0	1.911105	108	108
50.0	1.911105	132	132
51.0	1.911105	113	113
52.0	1.911105	107	107
53.0	1.911105	91	91
54.0	1.911105	89	89
55.0	1.911105	81	81
56.0	1.911105	66	66
57.0	1.911105	79	79
58.0	1.911105	78	78
59.0	1.911105	66	66
60.0	1.911105	55	55
61.0	1.911105	47	47
62.0	1.911105	71	71
63.0	1.911105	60	60
64.0	1.911105	65	65
65.0	1.911105	39	39
66.0	1.911105	41	41
67.0	1.911105	45	45
68.0	1.911105	36	36
69.0	1.911105	30	30
70.0	1.911105	37	37
71.0	1.911105	39	39
72.0	1.911105	32	32
73.0	1.911105	31	31
