## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT 05_groupUmis/bam/1_KB_A10_L001.bam --INPUT 05_groupUmis/bam/1_KB_A10_L002.bam --OUTPUT 06_markDuplicates/bam/1_KB_A10.bam --METRICS_FILE 06_markDuplicates/metrics/1_KB_A10.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Sep 08 14:29:52 ACST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	29	70473763	6878870	0	22	13762837	0	0.19529	156085785

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	46858003	46858003
2.0	1.636668	7776854	7776854
3.0	2.042015	1430885	1430885
4.0	2.300086	343407	343407
5.0	2.464392	120562	120562
6.0	2.569	58433	58433
7.0	2.635601	33206	33206
8.0	2.678003	21410	21410
9.0	2.704999	14675	14675
10.0	2.722187	10442	10442
11.0	2.73313	7580	7580
12.0	2.740097	5846	5846
13.0	2.744533	4511	4511
14.0	2.747357	3616	3616
15.0	2.749155	2911	2911
16.0	2.750299	2344	2344
17.0	2.751028	1965	1965
18.0	2.751492	1678	1678
19.0	2.751788	1388	1388
20.0	2.751976	1170	1170
21.0	2.752096	1052	1052
22.0	2.752172	879	879
23.0	2.75222	774	774
24.0	2.752251	612	612
25.0	2.752271	630	630
26.0	2.752283	493	493
27.0	2.752291	490	490
28.0	2.752296	433	433
29.0	2.7523	353	353
30.0	2.752302	322	322
31.0	2.752303	279	279
32.0	2.752304	263	263
33.0	2.752304	212	212
34.0	2.752305	220	220
35.0	2.752305	198	198
36.0	2.752305	183	183
37.0	2.752305	148	148
38.0	2.752305	138	138
39.0	2.752305	136	136
40.0	2.752305	148	148
41.0	2.752305	126	126
42.0	2.752305	154	154
43.0	2.752305	111	111
44.0	2.752305	91	91
45.0	2.752305	90	90
46.0	2.752305	74	74
47.0	2.752305	83	83
48.0	2.752305	77	77
49.0	2.752305	58	58
50.0	2.752305	58	58
51.0	2.752305	68	68
52.0	2.752305	50	50
53.0	2.752305	50	50
54.0	2.752305	55	55
55.0	2.752305	47	47
56.0	2.752305	45	45
57.0	2.752305	38	38
58.0	2.752305	33	33
59.0	2.752305	28	28
60.0	2.752305	29	29
61.0	2.752305	31	31
62.0	2.752305	30	30
63.0	2.752305	34	34
64.0	2.752305	32	32
65.0	2.752305	17	17
66.0	2.752305	13	13
67.0	2.752305	22	22
68.0	2.752305	25	25
69.0	2.752305	18	18
70.0	2.752305	20	20
71.0	2.752305	25	25
72.0	2.752305	16	16
73.0	2.752305	18	18
74.0	2.752305	17	17
75.0	2.752305	17	17
76.0	2.752305	12	12
77.0	2.752305	13	13
78.0	2.752305	12	12
79.0	2.752305	13	13
80.0	2.752305	11	11
81.0	2.752305	11	11
82.0	2.752305	10	10
83.0	2.752305	5	5
84.0	2.752305	11	11
85.0	2.752305	10	10
86.0	2.752305	8	8
87.0	2.752305	11	11
88.0	2.752305	12	12
89.0	2.752305	8	8
90.0	2.752305	3	3
91.0	2.752305	9	9
92.0	2.752305	8	8
93.0	2.752305	5	5
94.0	2.752305	4	4
95.0	2.752305	5	5
96.0	2.752305	2	2
97.0	2.752305	7	7
98.0	2.752305	3	3
99.0	2.752305	8	8
100.0	2.752305	6	6
101.0	0	2	2
102.0	0	6	6
103.0	0	8	8
104.0	0	2	2
105.0	0	4	4
106.0	0	7	7
107.0	0	1	1
108.0	0	3	3
109.0	0	7	7
110.0	0	1	1
111.0	0	4	4
112.0	0	2	2
113.0	0	4	4
114.0	0	3	3
115.0	0	2	2
116.0	0	4	4
117.0	0	4	4
118.0	0	2	2
119.0	0	3	3
120.0	0	4	4
121.0	0	4	4
122.0	0	2	2
123.0	0	2	2
124.0	0	1	1
125.0	0	2	2
126.0	0	2	2
127.0	0	1	1
128.0	0	3	3
129.0	0	3	3
130.0	0	2	2
131.0	0	2	2
132.0	0	2	2
133.0	0	1	1
134.0	0	3	3
135.0	0	2	2
136.0	0	3	3
137.0	0	2	2
138.0	0	1	1
139.0	0	1	1
140.0	0	1	1
142.0	0	3	3
144.0	0	2	2
147.0	0	1	1
148.0	0	3	3
151.0	0	1	1
152.0	0	1	1
153.0	0	1	1
154.0	0	1	1
155.0	0	1	1
157.0	0	1	1
159.0	0	1	1
160.0	0	3	3
162.0	0	1	1
164.0	0	2	2
165.0	0	1	1
169.0	0	1	1
170.0	0	1	1
171.0	0	1	1
174.0	0	1	1
176.0	0	1	1
177.0	0	2	2
180.0	0	1	1
183.0	0	1	1
186.0	0	1	1
187.0	0	1	1
194.0	0	1	1
198.0	0	1	1
200.0	0	1	1
203.0	0	1	1
210.0	0	1	1
211.0	0	1	1
215.0	0	1	1
217.0	0	1	1
222.0	0	1	1
224.0	0	1	1
226.0	0	2	2
227.0	0	1	1
230.0	0	1	1
237.0	0	1	1
241.0	0	1	1
254.0	0	1	1
291.0	0	1	1
297.0	0	1	1
299.0	0	1	1
301.0	0	1	1
360.0	0	1	1
372.0	0	1	1

