## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT 05_groupUmis/bam/24_KB_C8_L001.bam --INPUT 05_groupUmis/bam/24_KB_C8_L002.bam --OUTPUT 06_markDuplicates/bam/24_KB_C8.bam --METRICS_FILE 06_markDuplicates/metrics/24_KB_C8.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Sep 08 14:29:50 ACST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	31	84720629	7956008	0	18	17489951	0	0.206443	175855425

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	55213235	55213235
2.0	1.617693	9335349	9335349
3.0	1.999239	1786829	1786829
4.0	2.234917	454072	454072
5.0	2.380493	167995	167995
6.0	2.470415	83762	83762
7.0	2.525959	49325	49325
8.0	2.560269	32188	32188
9.0	2.581461	21902	21902
10.0	2.594552	16033	16033
11.0	2.602638	11879	11879
12.0	2.607632	9123	9123
13.0	2.610717	7223	7223
14.0	2.612623	5790	5790
15.0	2.6138	4654	4654
16.0	2.614527	3834	3834
17.0	2.614976	3156	3156
18.0	2.615254	2647	2647
19.0	2.615425	2270	2270
20.0	2.615531	1905	1905
21.0	2.615596	1622	1622
22.0	2.615637	1438	1438
23.0	2.615662	1315	1315
24.0	2.615677	1166	1166
25.0	2.615687	964	964
26.0	2.615693	902	902
27.0	2.615696	829	829
28.0	2.615698	652	652
29.0	2.6157	622	622
30.0	2.615701	579	579
31.0	2.615701	523	523
32.0	2.615702	489	489
33.0	2.615702	383	383
34.0	2.615702	394	394
35.0	2.615702	321	321
36.0	2.615702	291	291
37.0	2.615702	308	308
38.0	2.615702	275	275
39.0	2.615702	271	271
40.0	2.615702	230	230
41.0	2.615702	219	219
42.0	2.615702	203	203
43.0	2.615702	159	159
44.0	2.615702	171	171
45.0	2.615702	149	149
46.0	2.615702	156	156
47.0	2.615702	154	154
48.0	2.615702	105	105
49.0	2.615702	120	120
50.0	2.615702	105	105
51.0	2.615702	118	118
52.0	2.615702	95	95
53.0	2.615702	101	101
54.0	2.615702	86	86
55.0	2.615702	94	94
56.0	2.615702	87	87
57.0	2.615702	76	76
58.0	2.615702	68	68
59.0	2.615702	61	61
60.0	2.615702	67	67
61.0	2.615702	69	69
62.0	2.615702	64	64
63.0	2.615702	61	61
64.0	2.615702	58	58
65.0	2.615702	44	44
66.0	2.615702	51	51
67.0	2.615702	64	64
68.0	2.615702	32	32
69.0	2.615702	27	27
70.0	2.615702	35	35
71.0	2.615702	45	45
72.0	2.615702	39	39
73.0	2.615702	39	39
74.0	2.615702	37	37
75.0	2.615702	26	26
76.0	2.615702	47	47
77.0	2.615702	39	39
78.0	2.615702	19	19
79.0	2.615702	26	26
80.0	2.615702	35	35
81.0	2.615702	22	22
82.0	2.615702	16	16
83.0	2.615702	18	18
84.0	2.615702	19	19
85.0	2.615702	16	16
86.0	2.615702	15	15
87.0	2.615702	15	15
88.0	2.615702	16	16
89.0	2.615702	12	12
90.0	2.615702	19	19
91.0	2.615702	20	20
92.0	2.615702	13	13
93.0	2.615702	11	11
94.0	2.615702	10	10
95.0	2.615702	11	11
96.0	2.615702	14	14
97.0	2.615702	9	9
98.0	2.615702	14	14
99.0	2.615702	13	13
100.0	2.615702	11	11
101.0	0	10	10
102.0	0	11	11
103.0	0	15	15
104.0	0	9	9
105.0	0	14	14
106.0	0	7	7
107.0	0	5	5
108.0	0	4	4
109.0	0	15	15
110.0	0	8	8
111.0	0	5	5
112.0	0	11	11
113.0	0	4	4
114.0	0	3	3
115.0	0	4	4
116.0	0	3	3
117.0	0	4	4
118.0	0	6	6
119.0	0	7	7
120.0	0	5	5
121.0	0	4	4
122.0	0	3	3
123.0	0	6	6
124.0	0	9	9
125.0	0	12	12
126.0	0	4	4
127.0	0	5	5
128.0	0	6	6
129.0	0	6	6
130.0	0	4	4
131.0	0	2	2
132.0	0	3	3
133.0	0	6	6
134.0	0	7	7
135.0	0	7	7
136.0	0	2	2
137.0	0	6	6
138.0	0	3	3
139.0	0	3	3
140.0	0	3	3
141.0	0	3	3
142.0	0	2	2
143.0	0	1	1
144.0	0	2	2
145.0	0	2	2
146.0	0	3	3
147.0	0	2	2
148.0	0	1	1
149.0	0	2	2
150.0	0	1	1
151.0	0	1	1
152.0	0	3	3
154.0	0	2	2
155.0	0	2	2
156.0	0	2	2
158.0	0	1	1
159.0	0	5	5
160.0	0	2	2
161.0	0	3	3
162.0	0	1	1
164.0	0	1	1
165.0	0	2	2
169.0	0	1	1
170.0	0	3	3
172.0	0	5	5
175.0	0	2	2
176.0	0	2	2
178.0	0	4	4
179.0	0	2	2
180.0	0	1	1
181.0	0	4	4
182.0	0	1	1
184.0	0	2	2
185.0	0	1	1
186.0	0	1	1
187.0	0	1	1
188.0	0	2	2
189.0	0	1	1
190.0	0	1	1
194.0	0	2	2
195.0	0	1	1
198.0	0	1	1
199.0	0	2	2
