## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT 05_groupUmis/bam/7_KB_B12_L001.bam --INPUT 05_groupUmis/bam/7_KB_B12_L002.bam --OUTPUT 06_markDuplicates/bam/7_KB_B12.bam --METRICS_FILE 06_markDuplicates/metrics/7_KB_B12.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Sep 08 14:29:51 ACST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	34	80832608	7975450	0	21	20372100	0	0.252028	132104581

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	46376210	46376210
2.0	1.542328	10624201	10624201
3.0	1.836449	2397483	2397483
4.0	1.995958	604697	604697
5.0	2.082465	196958	196958
6.0	2.12938	86856	86856
7.0	2.154823	47243	47243
8.0	2.168622	29923	29923
9.0	2.176105	20409	20409
10.0	2.180164	14487	14487
11.0	2.182365	10713	10713
12.0	2.183559	8359	8359
13.0	2.184206	6476	6476
14.0	2.184557	5156	5156
15.0	2.184747	4042	4042
16.0	2.184851	3295	3295
17.0	2.184907	2847	2847
18.0	2.184937	2361	2361
19.0	2.184954	1969	1969
20.0	2.184962	1654	1654
21.0	2.184967	1446	1446
22.0	2.18497	1255	1255
23.0	2.184971	1089	1089
24.0	2.184972	994	994
25.0	2.184973	839	839
26.0	2.184973	754	754
27.0	2.184973	698	698
28.0	2.184973	654	654
29.0	2.184973	540	540
30.0	2.184973	490	490
31.0	2.184973	427	427
32.0	2.184973	423	423
33.0	2.184973	363	363
34.0	2.184973	318	318
35.0	2.184973	300	300
36.0	2.184973	264	264
37.0	2.184973	258	258
38.0	2.184973	228	228
39.0	2.184973	182	182
40.0	2.184973	206	206
41.0	2.184973	192	192
42.0	2.184973	163	163
43.0	2.184973	147	147
44.0	2.184973	167	167
45.0	2.184973	122	122
46.0	2.184973	130	130
47.0	2.184973	147	147
48.0	2.184973	119	119
49.0	2.184973	93	93
50.0	2.184973	94	94
51.0	2.184973	81	81
52.0	2.184973	108	108
53.0	2.184973	73	73
54.0	2.184973	81	81
55.0	2.184973	68	68
56.0	2.184973	85	85
57.0	2.184973	74	74
58.0	2.184973	67	67
59.0	2.184973	68	68
60.0	2.184973	65	65
61.0	2.184973	57	57
62.0	2.184973	48	48
63.0	2.184973	52	52
64.0	2.184973	50	50
65.0	2.184973	43	43
66.0	2.184973	41	41
67.0	2.184973	39	39
68.0	2.184973	33	33
69.0	2.184973	37	37
70.0	2.184973	28	28
71.0	2.184973	27	27
72.0	2.184973	36	36
73.0	2.184973	28	28
74.0	2.184973	23	23
75.0	2.184973	32	32
76.0	2.184973	27	27
77.0	2.184973	25	25
78.0	2.184973	21	21
79.0	2.184973	23	23
80.0	2.184973	29	29
81.0	2.184973	21	21
82.0	2.184973	12	12
83.0	2.184973	20	20
84.0	2.184973	25	25
85.0	2.184973	15	15
86.0	2.184973	15	15
87.0	2.184973	18	18
88.0	2.184973	13	13
89.0	2.184973	16	16
90.0	2.184973	10	10
91.0	2.184973	10	10
92.0	2.184973	19	19
93.0	2.184973	12	12
94.0	2.184973	8	8
95.0	2.184973	11	11
96.0	2.184973	14	14
97.0	2.184973	8	8
98.0	2.184973	11	11
99.0	2.184973	7	7
100.0	2.184973	12	12
101.0	0	6	6
102.0	0	8	8
103.0	0	11	11
104.0	0	11	11
105.0	0	10	10
106.0	0	7	7
107.0	0	6	6
108.0	0	10	10
109.0	0	8	8
110.0	0	10	10
111.0	0	6	6
112.0	0	9	9
113.0	0	3	3
114.0	0	10	10
115.0	0	5	5
116.0	0	2	2
117.0	0	6	6
118.0	0	4	4
119.0	0	1	1
120.0	0	6	6
121.0	0	2	2
122.0	0	5	5
123.0	0	3	3
125.0	0	7	7
126.0	0	3	3
127.0	0	5	5
128.0	0	5	5
129.0	0	2	2
130.0	0	2	2
131.0	0	2	2
132.0	0	4	4
133.0	0	3	3
134.0	0	3	3
135.0	0	1	1
137.0	0	3	3
138.0	0	4	4
139.0	0	2	2
140.0	0	2	2
141.0	0	1	1
142.0	0	1	1
143.0	0	1	1
144.0	0	4	4
145.0	0	2	2
146.0	0	3	3
147.0	0	1	1
148.0	0	5	5
149.0	0	1	1
150.0	0	2	2
151.0	0	1	1
153.0	0	2	2
154.0	0	1	1
155.0	0	3	3
156.0	0	2	2
157.0	0	2	2
158.0	0	3	3
159.0	0	1	1
161.0	0	1	1
162.0	0	1	1
163.0	0	2	2
164.0	0	3	3
165.0	0	2	2
166.0	0	1	1
167.0	0	2	2
168.0	0	3	3
169.0	0	1	1
170.0	0	1	1
172.0	0	1	1
174.0	0	2	2
175.0	0	1	1
178.0	0	2	2
179.0	0	2	2
180.0	0	1	1
183.0	0	5	5
184.0	0	1	1
185.0	0	1	1
187.0	0	1	1
188.0	0	1	1
189.0	0	1	1
191.0	0	1	1
192.0	0	1	1
194.0	0	1	1
195.0	0	2	2
196.0	0	1	1
197.0	0	1	1
198.0	0	3	3
202.0	0	1	1
204.0	0	4	4
206.0	0	2	2
211.0	0	2	2
215.0	0	4	4
220.0	0	1	1
226.0	0	1	1
228.0	0	1	1
230.0	0	1	1
231.0	0	1	1
235.0	0	1	1
245.0	0	1	1
247.0	0	1	1
260.0	0	1	1
269.0	0	2	2
270.0	0	1	1
274.0	0	1	1
278.0	0	1	1
285.0	0	1	1
288.0	0	1	1
293.0	0	1	1
294.0	0	1	1
297.0	0	1	1
298.0	0	1	1
300.0	0	1	1
339.0	0	1	1
345.0	0	1	1
347.0	0	1	1
356.0	0	1	1
359.0	0	1	1
450.0	0	1	1
459.0	0	1	1
508.0	0	1	1

