## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT 06_mergeSamples/bam/16_KB_C12.bam --OUTPUT 07_markDuplicates/bam/16_KB_C12.bam --METRICS_FILE 07_markDuplicates/metrics/16_KB_C12.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Nov 22 11:06:20 ACDT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	24	72848021	6650082	0	17	22626852	0	0.310604	91464336

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	38057289	38057289
2.0	1.450921	8537770	8537770
3.0	1.65425	2137938	2137938
4.0	1.745936	674399	674399
5.0	1.787279	280063	280063
6.0	1.805921	146473	146473
7.0	1.814327	88258	88258
8.0	1.818118	58823	58823
9.0	1.819827	41106	41106
10.0	1.820598	30314	30314
11.0	1.820945	23318	23318
12.0	1.821102	18447	18447
13.0	1.821173	14461	14461
14.0	1.821205	12211	12211
15.0	1.821219	10022	10022
16.0	1.821225	8487	8487
17.0	1.821228	7266	7266
18.0	1.82123	6223	6223
19.0	1.82123	5406	5406
20.0	1.821231	4662	4662
21.0	1.821231	4063	4063
22.0	1.821231	3605	3605
23.0	1.821231	3239	3239
24.0	1.821231	2969	2969
25.0	1.821231	2626	2626
26.0	1.821231	2375	2375
27.0	1.821231	2116	2116
28.0	1.821231	1970	1970
29.0	1.821231	1841	1841
30.0	1.821231	1633	1633
31.0	1.821231	1565	1565
32.0	1.821231	1416	1416
33.0	1.821231	1264	1264
34.0	1.821231	1191	1191
35.0	1.821231	1105	1105
36.0	1.821231	1040	1040
37.0	1.821231	940	940
38.0	1.821231	882	882
39.0	1.821231	862	862
40.0	1.821231	817	817
41.0	1.821231	776	776
42.0	1.821231	729	729
43.0	1.821231	663	663
44.0	1.821231	597	597
45.0	1.821231	611	611
46.0	1.821231	556	556
47.0	1.821231	534	534
48.0	1.821231	565	565
49.0	1.821231	517	517
50.0	1.821231	443	443
51.0	1.821231	440	440
52.0	1.821231	421	421
53.0	1.821231	411	411
54.0	1.821231	347	347
55.0	1.821231	370	370
56.0	1.821231	337	337
57.0	1.821231	369	369
58.0	1.821231	306	306
59.0	1.821231	299	299
60.0	1.821231	305	305
61.0	1.821231	289	289
62.0	1.821231	321	321
63.0	1.821231	259	259
64.0	1.821231	259	259
65.0	1.821231	223	223
66.0	1.821231	241	241
67.0	1.821231	209	209
68.0	1.821231	220	220
69.0	1.821231	193	193
70.0	1.821231	216	216
71.0	1.821231	170	170
72.0	1.821231	192	192
73.0	1.821231	188	188
74.0	1.821231	172	172
75.0	1.821231	174	174
76.0	1.821231	151	151
77.0	1.821231	157	157
78.0	1.821231	137	137
79.0	1.821231	145	145
80.0	1.821231	133	133
81.0	1.821231	129	129
82.0	1.821231	157	157
83.0	1.821231	129	129
84.0	1.821231	116	116
85.0	1.821231	112	112
86.0	1.821231	139	139
87.0	1.821231	115	115
88.0	1.821231	127	127
89.0	1.821231	100	100
90.0	1.821231	97	97
91.0	1.821231	115	115
92.0	1.821231	109	109
93.0	1.821231	108	108
94.0	1.821231	95	95
95.0	1.821231	73	73
96.0	1.821231	87	87
97.0	1.821231	105	105
98.0	1.821231	93	93
99.0	1.821231	73	73
100.0	1.821231	79	79
101.0	0	87	87
102.0	0	88	88
103.0	0	88	88
104.0	0	74	74
105.0	0	76	76
106.0	0	64	64
107.0	0	66	66
108.0	0	63	63
109.0	0	67	67
110.0	0	52	52
111.0	0	64	64
112.0	0	66	66
113.0	0	40	40
114.0	0	62	62
115.0	0	52	52
116.0	0	56	56
117.0	0	51	51
118.0	0	56	56
119.0	0	50	50
120.0	0	56	56
121.0	0	45	45
122.0	0	48	48
123.0	0	55	55
124.0	0	41	41
125.0	0	39	39
126.0	0	50	50
127.0	0	48	48
128.0	0	42	42
129.0	0	34	34
130.0	0	32	32
131.0	0	37	37
132.0	0	34	34
133.0	0	36	36
134.0	0	47	47
135.0	0	39	39
136.0	0	40	40
137.0	0	39	39
138.0	0	30	30
139.0	0	34	34
140.0	0	35	35
141.0	0	24	24
142.0	0	25	25
143.0	0	43	43
144.0	0	35	35
145.0	0	26	26
146.0	0	32	32
147.0	0	26	26
148.0	0	30	30
149.0	0	39	39
150.0	0	29	29
151.0	0	39	39
152.0	0	23	23
153.0	0	26	26
154.0	0	39	39
155.0	0	23	23
156.0	0	23	23
157.0	0	22	22
158.0	0	25	25
159.0	0	24	24
160.0	0	19	19
161.0	0	18	18
162.0	0	25	25
163.0	0	28	28
164.0	0	31	31
165.0	0	20	20
166.0	0	22	22
167.0	0	23	23
168.0	0	22	22
169.0	0	22	22
170.0	0	23	23
171.0	0	26	26
172.0	0	26	26
173.0	0	16	16
174.0	0	20	20
175.0	0	14	14
176.0	0	21	21
177.0	0	13	13
178.0	0	23	23
179.0	0	21	21
180.0	0	23	23
181.0	0	16	16
182.0	0	15	15
183.0	0	21	21
184.0	0	16	16
185.0	0	18	18
186.0	0	17	17
187.0	0	20	20
188.0	0	16	16
189.0	0	18	18
190.0	0	22	22
191.0	0	17	17
192.0	0	15	15
193.0	0	14	14
194.0	0	5	5
195.0	0	11	11
196.0	0	17	17
197.0	0	19	19
198.0	0	20	20
199.0	0	9	9
200.0	0	13	13
201.0	0	15	15
202.0	0	9	9
203.0	0	13	13
204.0	0	12	12
205.0	0	13	13
206.0	0	14	14
207.0	0	6	6
208.0	0	14	14
209.0	0	13	13
210.0	0	18	18
211.0	0	13	13
212.0	0	11	11
213.0	0	16	16
214.0	0	12	12
215.0	0	12	12
216.0	0	15	15
217.0	0	10	10
218.0	0	14	14
219.0	0	8	8
220.0	0	9	9
221.0	0	9	9
222.0	0	8	8
223.0	0	7	7
224.0	0	7	7
225.0	0	5	5
226.0	0	9	9
227.0	0	13	13
228.0	0	8	8
229.0	0	10	10
230.0	0	11	11
231.0	0	8	8
232.0	0	4	4
233.0	0	5	5
234.0	0	6	6
235.0	0	7	7
236.0	0	8	8
237.0	0	7	7
238.0	0	9	9
239.0	0	8	8
240.0	0	7	7
241.0	0	7	7
242.0	0	14	14
243.0	0	17	17
244.0	0	8	8
245.0	0	7	7
246.0	0	9	9
247.0	0	7	7
248.0	0	12	12
249.0	0	10	10
250.0	0	13	13
251.0	0	5	5
252.0	0	7	7
253.0	0	9	9
254.0	0	5	5
255.0	0	8	8
256.0	0	9	9
257.0	0	9	9
258.0	0	8	8
259.0	0	10	10
260.0	0	7	7
261.0	0	11	11
262.0	0	3	3
263.0	0	6	6
264.0	0	2	2
265.0	0	4	4
266.0	0	4	4
267.0	0	8	8
268.0	0	4	4
269.0	0	8	8
270.0	0	6	6
271.0	0	6	6
272.0	0	7	7
273.0	0	10	10
274.0	0	7	7
275.0	0	4	4
276.0	0	4	4
277.0	0	5	5
278.0	0	4	4
279.0	0	7	7
280.0	0	4	4
281.0	0	4	4
282.0	0	5	5
283.0	0	4	4
284.0	0	4	4
285.0	0	4	4
286.0	0	5	5
287.0	0	5	5
288.0	0	5	5
289.0	0	6	6
290.0	0	4	4
291.0	0	6	6
292.0	0	5	5
293.0	0	5	5
294.0	0	3	3
295.0	0	4	4
296.0	0	4	4
297.0	0	4	4
298.0	0	3	3
299.0	0	3	3
300.0	0	8	8
301.0	0	7	7
302.0	0	6	6
303.0	0	7	7
304.0	0	8	8
305.0	0	7	7
306.0	0	5	5
307.0	0	4	4
308.0	0	2	2
309.0	0	5	5
310.0	0	2	2
311.0	0	2	2
312.0	0	7	7
313.0	0	1	1
314.0	0	6	6
315.0	0	3	3
316.0	0	4	4
317.0	0	2	2
318.0	0	1	1
319.0	0	6	6
320.0	0	6	6
321.0	0	4	4
322.0	0	2	2
323.0	0	3	3
324.0	0	1	1
325.0	0	4	4
326.0	0	6	6
327.0	0	3	3
328.0	0	2	2
329.0	0	2	2
330.0	0	5	5
331.0	0	4	4
332.0	0	4	4
333.0	0	2	2
334.0	0	3	3
335.0	0	2	2
336.0	0	3	3
338.0	0	2	2
339.0	0	6	6
340.0	0	5	5
341.0	0	5	5
342.0	0	2	2
343.0	0	4	4
344.0	0	8	8
345.0	0	8	8
346.0	0	1	1
347.0	0	1	1
348.0	0	3	3
350.0	0	1	1
351.0	0	2	2
352.0	0	3	3
353.0	0	3	3
354.0	0	4	4
355.0	0	1	1
356.0	0	1	1
357.0	0	2	2
358.0	0	4	4
359.0	0	3	3
360.0	0	3	3
361.0	0	4	4
362.0	0	2	2
363.0	0	2	2
364.0	0	5	5
365.0	0	1	1
366.0	0	2	2
367.0	0	1	1
370.0	0	2	2
371.0	0	2	2
372.0	0	2	2
373.0	0	3	3
374.0	0	1	1
375.0	0	4	4
376.0	0	3	3
377.0	0	2	2
378.0	0	2	2
379.0	0	3	3
380.0	0	1	1
381.0	0	4	4
