feat	n.vars	mean.s	median.s	sd.s	cv.s	liptak.s	p.nom	fdr
ENSDARG00000000001	9	1.97909295970377	1.6244208892013	1.30194277339137	0.65784821627896	5.9372788791113	0.51224	0.819661363035681
ENSDARG00000000002	4	2.80621744703719	2.3879031710915	1.49898622076839	0.53416609691135	5.61243489407438	0.1734	0.461155018820577
ENSDARG00000000086	18	3.43961267765719	2.16507873385328	2.89693616985259	0.84222743702229	14.5930406941597	0.01915	0.113487183787561
ENSDARG00000000103	24	3.06088367247733	2.44258407027519	2.72679144994586	0.890851055355178	14.9952063191715	0.11299	0.354967842846553
ENSDARG00000000151	4	2.31305964047864	2.19269091365861	1.722180171549	0.744546375463382	4.62611928095728	0.34309	0.670277008055236
ENSDARG00000000161	10	2.10416576701682	1.49143008508939	1.92979195967033	0.917129244244998	6.65395639832835	0.37129	0.698874804618117
ENSDARG00000000183	28	2.11940435954747	2.10074082763429	1.19772944254402	0.565125497241005	11.2148337258975	0.87709	1
ENSDARG00000000189	19	2.62378793755353	2.02797975768517	2.23713078341145	0.85263399202048	11.4368264690769	0.24186	0.559652022932023
ENSDARG00000000241	20	3.50904697605631	3.75893485413281	2.04489891354941	0.582750509612043	15.692935149404	0.02109	0.120783
ENSDARG00000000370	24	2.64687249269644	2.58113115335175	1.71786857885566	0.649018259699248	12.9669740426298	0.21474	0.520782901287554
ENSDARG00000000394	6	3.11647353658266	3.0642646147796	1.30611182835272	0.41909928418161	7.63376996151444	0.28472	0.606353447236181
ENSDARG00000000423	11	1.46124179324048	1.55344573403387	0.853546509077532	0.584124073802112	4.84639075616476	0.81109	0.984038488621726
ENSDARG00000000442	8	1.13863218728929	1.14255035958895	0.78019131782549	0.685200476971292	3.22053816363812	0.94098	1
ENSDARG00000000472	6	1.4316459973464	1.23955110262866	0.647154218320152	0.452035083756509	3.50680218579661	0.81097	0.984038488621726
ENSDARG00000000489	7	1.14205980286884	1.13998094391514	1.0060717435969	0.880927374441915	3.0216062207544	0.95747	1
ENSDARG00000000503	28	8.58639534735741	6.25692534407275	7.51900614163811	0.875688322917975	45.4349334951795	0.02955	0.151797454545455
ENSDARG00000000516	3	5.60702900315721	6.75223191077983	2.68519090384238	0.478897273820129	9.71165911298056	0.01723	0.105476395097332
ENSDARG00000000529	6	3.01369004931976	2.77925314810082	2.18739824400133	0.725820574844802	7.38200286373647	0.11642	0.362150708256881
ENSDARG00000000540	19	2.43941332208459	2.01782825797777	1.78414748642696	0.731383841464933	10.6331561524935	0.22133	0.529791889296809
ENSDARG00000000542	19	1.16337054150245	0.982080478597003	0.921644238246988	0.792218992460235	5.07101462430136	0.99539	1
ENSDARG00000000567	22	2.51345307346811	1.54479277653419	2.40382024747192	0.956381590269786	11.7891399073715	0.14637	0.412170139534884
ENSDARG00000000568	10	2.5422491398275	1.35435185517924	2.25948778738367	0.888775121205069	8.03929766145879	0.3496	0.678856723940435
ENSDARG00000000631	23	2.41198696192542	1.8624374809763	2.54628950908397	1.05568129068631	11.5674831058212	0.25826	0.578644398625429
ENSDARG00000000651	3	1.02973121643782	0.958081677855914	0.379118672921534	0.368172457889575	1.78354678501001	0.83047	0.994780062182024
ENSDARG00000000666	22	2.49474040570634	1.66909207783218	2.12179905759365	0.850508955857834	11.7013697155933	0.37635	0.701703167619886
ENSDARG00000000729	33	1.85235771353244	1.43325132691325	1.23180561757333	0.664993380368353	10.6409849291851	0.66911	0.927494789860998
ENSDARG00000000767	10	1.50903199545531	1.53346390336638	0.880809326060031	0.583691617349884	4.77197816770763	0.79417	0.977972529420311
ENSDARG00000000779	2	2.06837527654883	2.06837527654883	0.271544993802849	0.131284200155367	2.92512436817255	0.34724	0.67520216563432
ENSDARG00000000857	9	3.05079131147147	3.3116452755554	2.28190562676235	0.747971720708006	9.1523739344144	0.10824	0.346596992822063
ENSDARG00000000861	20	3.39868849730454	2.74281650103898	2.6208628517716	0.77113947154915	15.1993970286391	0.0233	0.128574739583333
ENSDARG00000000943	13	1.83959315325047	1.02322643906739	1.85721192777694	1.00957753865051	6.63274744003706	0.60323	0.889729405217391
ENSDARG00000001014	21	1.75982394046367	1.48812427962682	1.170287102534	0.665002376445489	8.06452641697023	0.71048	0.947153704223157
ENSDARG00000001015	68	3.27245724911815	2.33473197796899	2.68694554102219	0.821078882465543	26.9853737868647	4e-05	0.000860507614213198
ENSDARG00000001162	11	2.59441389316521	2.59515413690822	1.67037123429912	0.64383375324176	8.6046974345142	0.52964	0.831184713941863
ENSDARG00000001169	2	2.05756154429126	2.05756154429126	0.182224831098597	0.0885634899253355	2.90983144135403	0.37096	0.698723768888889
ENSDARG00000001210	3	2.60183033962419	2.24734457652802	0.772872573129878	0.297049565976508	4.50650234090329	0.28326	0.604763667506297
ENSDARG00000001220	26	2.81253980074674	2.13929882376749	2.26333692088334	0.804730628267879	14.341195326764	0.11139	0.352686454986926
ENSDARG00000001234	3	3.70244411683374	3.80679049919211	1.46664356515267	0.39612848131437	6.41282132254051	0.08952	0.308946058631922
ENSDARG00000001241	6	2.75312302907127	1.88452521793779	2.07358088959472	0.753174074568769	6.74374662033024	0.49784	0.809021042545036
ENSDARG00000001244	12	3.4910659519106	2.62137706897478	2.54159224685208	0.728027565752837	12.0934072025659	0.22808	0.540828072727273
ENSDARG00000001447	17	1.92278628643825	1.66871728755481	1.01814629992649	0.52951610228742	7.92785095447405	0.51911	0.823353406922357
ENSDARG00000001463	22	3.08221415838917	2.66556877521887	2.14502588288986	0.695936678199836	14.4568658636595	0.01967	0.115678002773925
ENSDARG00000001470	15	3.98360224313229	0.954244979688225	8.22652922920468	2.06509805123922	15.4284251455659	0.00468	0.0400683636363636
ENSDARG00000001557	2	0.855126568644631	0.855126568644631	0.601757336168388	0.703705577903127	1.2093315909228	0.83676	0.997124600028117
ENSDARG00000001558	3	2.60330374622992	2.53910534262441	1.46452245897361	0.562563035947887	4.50905435600461	0.21836	0.524954305161656
ENSDARG00000001559	13	3.0190693857868	3.09997636869016	1.91458180261709	0.63416290186326	10.8854094746379	0.07304	0.2716485476086
ENSDARG00000001634	18	6.78830942286895	4.53891124504098	9.29883377604227	1.36983057146978	28.8003577542191	0	0
ENSDARG00000001676	28	6.00943982903934	4.91079533164574	8.12688357048557	1.35235293166829	31.7989666128892	0	0
ENSDARG00000001710	47	5.3058146335068	1.98229022041768	12.8941667653562	2.4301954847665	36.374832501076	0	0
ENSDARG00000001712	3	0.699785673533134	0.927420832205978	0.618240997924382	0.883471927630294	1.2120643409682	0.91982	1
ENSDARG00000001729	18	2.01185594951302	1.59481216261268	1.42890103205787	0.710240229875178	8.53558190802693	0.82012	0.988669765324989
