## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT 06_mergeSamples/bam/17_KB_C1.bam --OUTPUT 07_markDuplicates/bam/17_KB_C1.bam --METRICS_FILE 07_markDuplicates/metrics/17_KB_C1.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Nov 22 11:06:20 ACDT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	21	72674644	7257476	0	16	27047261	0	0.372169	71508014

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	32941760	32941760
2.0	1.361926	8538831	8538831
3.0	1.492917	2329344	2329344
4.0	1.540326	771945	771945
5.0	1.557484	333128	333128
6.0	1.563695	178819	178819
7.0	1.565942	110405	110405
8.0	1.566756	75498	75498
9.0	1.56705	54311	54311
10.0	1.567157	40884	40884
11.0	1.567195	31634	31634
12.0	1.567209	25447	25447
13.0	1.567214	20864	20864
14.0	1.567216	17056	17056
15.0	1.567217	14384	14384
16.0	1.567217	12082	12082
17.0	1.567217	10633	10633
18.0	1.567217	9179	9179
19.0	1.567217	7902	7902
20.0	1.567217	6969	6969
21.0	1.567217	6142	6142
22.0	1.567217	5598	5598
23.0	1.567217	5174	5174
24.0	1.567217	4495	4495
25.0	1.567217	4156	4156
26.0	1.567217	3748	3748
27.0	1.567217	3377	3377
28.0	1.567217	3176	3176
29.0	1.567217	2920	2920
30.0	1.567217	2598	2598
31.0	1.567217	2499	2499
32.0	1.567217	2221	2221
33.0	1.567217	2094	2094
34.0	1.567217	1992	1992
35.0	1.567217	1913	1913
36.0	1.567217	1769	1769
37.0	1.567217	1592	1592
38.0	1.567217	1520	1520
39.0	1.567217	1341	1341
40.0	1.567217	1363	1363
41.0	1.567217	1243	1243
42.0	1.567217	1219	1219
43.0	1.567217	1107	1107
44.0	1.567217	1005	1005
45.0	1.567217	988	988
46.0	1.567217	996	996
47.0	1.567217	898	898
48.0	1.567217	864	864
49.0	1.567217	841	841
50.0	1.567217	801	801
51.0	1.567217	776	776
52.0	1.567217	676	676
53.0	1.567217	732	732
54.0	1.567217	653	653
55.0	1.567217	692	692
56.0	1.567217	621	621
57.0	1.567217	576	576
58.0	1.567217	550	550
59.0	1.567217	569	569
60.0	1.567217	495	495
61.0	1.567217	481	481
62.0	1.567217	451	451
63.0	1.567217	443	443
64.0	1.567217	466	466
65.0	1.567217	402	402
66.0	1.567217	429	429
67.0	1.567217	366	366
68.0	1.567217	347	347
69.0	1.567217	382	382
70.0	1.567217	319	319
