## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT 06_mergeSamples/bam/5_KB_A7.bam --OUTPUT 07_markDuplicates/bam/5_KB_A7.bam --METRICS_FILE 07_markDuplicates/metrics/5_KB_A7.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Nov 22 11:06:20 ACDT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	37	77918554	7630599	0	29	23104049	0	0.296515	103879435

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	42364581	42364581
2.0	1.472326	8740327	8740327
3.0	1.695417	2145043	2145043
4.0	1.800789	692200	692200
5.0	1.850559	297351	297351
6.0	1.874067	158073	158073
7.0	1.88517	96574	96574
8.0	1.890414	64304	64304
9.0	1.892891	45544	45544
10.0	1.894061	33452	33452
11.0	1.894614	25541	25541
12.0	1.894875	19891	19891
13.0	1.894998	15994	15994
14.0	1.895056	12879	12879
15.0	1.895084	10911	10911
16.0	1.895097	9099	9099
17.0	1.895103	7591	7591
18.0	1.895106	6522	6522
19.0	1.895107	5559	5559
20.0	1.895108	4855	4855
21.0	1.895108	4495	4495
22.0	1.895108	3881	3881
23.0	1.895108	3391	3391
24.0	1.895108	3069	3069
25.0	1.895108	2767	2767
26.0	1.895109	2437	2437
27.0	1.895109	2268	2268
28.0	1.895109	2025	2025
29.0	1.895109	1875	1875
30.0	1.895109	1696	1696
31.0	1.895109	1459	1459
32.0	1.895109	1389	1389
33.0	1.895109	1293	1293
34.0	1.895109	1210	1210
35.0	1.895109	1094	1094
36.0	1.895109	1114	1114
37.0	1.895109	924	924
38.0	1.895109	912	912
39.0	1.895109	892	892
40.0	1.895109	777	777
41.0	1.895109	737	737
42.0	1.895109	679	679
43.0	1.895109	652	652
44.0	1.895109	622	622
45.0	1.895109	539	539
46.0	1.895109	537	537
47.0	1.895109	526	526
48.0	1.895109	495	495
49.0	1.895109	510	510
50.0	1.895109	445	445
51.0	1.895109	454	454
52.0	1.895109	403	403
53.0	1.895109	359	359
54.0	1.895109	362	362
55.0	1.895109	343	343
56.0	1.895109	357	357
57.0	1.895109	347	347
58.0	1.895109	318	318
59.0	1.895109	284	284
60.0	1.895109	300	300
61.0	1.895109	278	278
62.0	1.895109	246	246
63.0	1.895109	237	237
64.0	1.895109	250	250
65.0	1.895109	227	227
66.0	1.895109	220	220
67.0	1.895109	234	234
68.0	1.895109	176	176
69.0	1.895109	187	187
70.0	1.895109	187	187
71.0	1.895109	176	176
72.0	1.895109	174	174
73.0	1.895109	169	169
74.0	1.895109	169	169
75.0	1.895109	148	148
76.0	1.895109	141	141
77.0	1.895109	155	155
78.0	1.895109	128	128
79.0	1.895109	141	141
80.0	1.895109	140	140
81.0	1.895109	125	125
82.0	1.895109	124	124
83.0	1.895109	127	127
84.0	1.895109	126	126
85.0	1.895109	110	110
86.0	1.895109	124	124
87.0	1.895109	108	108
88.0	1.895109	95	95
89.0	1.895109	104	104
90.0	1.895109	89	89
91.0	1.895109	81	81
92.0	1.895109	90	90
93.0	1.895109	86	86
94.0	1.895109	83	83
95.0	1.895109	85	85
96.0	1.895109	82	82
97.0	1.895109	66	66
98.0	1.895109	85	85
99.0	1.895109	89	89
100.0	1.895109	86	86
101.0	0	66	66
102.0	0	67	67
103.0	0	58	58
104.0	0	63	63
105.0	0	65	65
106.0	0	74	74
107.0	0	62	62
108.0	0	58	58
109.0	0	70	70
110.0	0	52	52
111.0	0	62	62
112.0	0	50	50
113.0	0	50	50
114.0	0	54	54
115.0	0	50	50
116.0	0	53	53
117.0	0	40	40
118.0	0	40	40
119.0	0	52	52
120.0	0	51	51
121.0	0	27	27
