## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT 06_mergeSamples/bam/6_KB_B11.bam --OUTPUT 07_markDuplicates/bam/6_KB_B11.bam --METRICS_FILE 07_markDuplicates/metrics/6_KB_B11.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Nov 22 11:06:20 ACDT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	42	77834762	7455382	0	32	27354404	0	0.351442	82896134

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	36183362	36183362
2.0	1.391041	9776696	9776696
3.0	1.543954	2676574	2676574
4.0	1.603749	856196	856196
5.0	1.627131	346001	346001
6.0	1.636275	176112	176112
7.0	1.63985	105321	105321
8.0	1.641248	69022	69022
9.0	1.641795	49458	49458
10.0	1.642009	35968	35968
11.0	1.642093	27685	27685
12.0	1.642125	21871	21871
13.0	1.642138	17485	17485
14.0	1.642143	14325	14325
15.0	1.642145	11847	11847
16.0	1.642146	10213	10213
17.0	1.642146	8630	8630
18.0	1.642146	7594	7594
19.0	1.642146	6598	6598
20.0	1.642146	5759	5759
21.0	1.642146	5048	5048
22.0	1.642146	4563	4563
23.0	1.642146	3976	3976
24.0	1.642146	3592	3592
25.0	1.642146	3298	3298
26.0	1.642146	2978	2978
27.0	1.642146	2677	2677
28.0	1.642146	2423	2423
29.0	1.642146	2157	2157
30.0	1.642146	2072	2072
31.0	1.642146	1836	1836
32.0	1.642146	1721	1721
33.0	1.642146	1629	1629
34.0	1.642146	1522	1522
35.0	1.642146	1471	1471
36.0	1.642146	1294	1294
37.0	1.642146	1240	1240
38.0	1.642146	1220	1220
39.0	1.642146	1051	1051
40.0	1.642146	1007	1007
41.0	1.642146	936	936
42.0	1.642146	936	936
43.0	1.642146	837	837
44.0	1.642146	801	801
45.0	1.642146	769	769
46.0	1.642146	772	772
47.0	1.642146	712	712
48.0	1.642146	645	645
49.0	1.642146	647	647
50.0	1.642146	612	612
51.0	1.642146	567	567
52.0	1.642146	519	519
53.0	1.642146	536	536
54.0	1.642146	478	478
55.0	1.642146	426	426
56.0	1.642146	442	442
57.0	1.642146	409	409
58.0	1.642146	424	424
59.0	1.642146	393	393
60.0	1.642146	392	392
61.0	1.642146	360	360
62.0	1.642146	348	348
63.0	1.642146	322	322
64.0	1.642146	286	286
65.0	1.642146	314	314
66.0	1.642146	305	305
67.0	1.642146	341	341
68.0	1.642146	275	275
69.0	1.642146	267	267
70.0	1.642146	253	253
