## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT 06_mergeSamples/bam/19_KB_C3.bam --OUTPUT 07_markDuplicates/bam/19_KB_C3.bam --METRICS_FILE 07_markDuplicates/metrics/19_KB_C3.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jan 11 19:00:47 ACDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	34	77473539	8230943	0	23	23576276	0	0.304314	99889382

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	41895620	41895620
2.0	1.460431	8418807	8418807
3.0	1.672427	2028892	2028892
4.0	1.770036	658784	658784
5.0	1.814979	287663	287663
6.0	1.835672	157148	157148
7.0	1.845199	98119	98119
8.0	1.849586	66452	66452
9.0	1.851606	47395	47395
10.0	1.852536	35202	35202
11.0	1.852964	27419	27419
12.0	1.853161	21514	21514
13.0	1.853252	17570	17570
14.0	1.853294	14297	14297
15.0	1.853313	11964	11964
16.0	1.853322	10241	10241
17.0	1.853326	8687	8687
18.0	1.853328	7559	7559
19.0	1.853329	6575	6575
20.0	1.853329	5547	5547
21.0	1.853329	4864	4864
22.0	1.853329	4414	4414
23.0	1.853329	4001	4001
24.0	1.853329	3599	3599
25.0	1.853329	3218	3218
26.0	1.853329	2869	2869
27.0	1.853329	2712	2712
28.0	1.853329	2409	2409
29.0	1.853329	2217	2217
30.0	1.853329	2029	2029
31.0	1.853329	1863	1863
32.0	1.853329	1697	1697
33.0	1.853329	1567	1567
34.0	1.853329	1399	1399
35.0	1.853329	1420	1420
36.0	1.853329	1337	1337
37.0	1.853329	1190	1190
38.0	1.853329	1171	1171
39.0	1.853329	1039	1039
40.0	1.853329	977	977
41.0	1.853329	946	946
42.0	1.853329	859	859
43.0	1.853329	793	793
44.0	1.853329	782	782
45.0	1.853329	762	762
46.0	1.853329	711	711
47.0	1.853329	619	619
48.0	1.853329	601	601
49.0	1.853329	625	625
50.0	1.853329	553	553
51.0	1.853329	543	543
52.0	1.853329	551	551
53.0	1.853329	538	538
54.0	1.853329	459	459
55.0	1.853329	454	454
56.0	1.853329	423	423
57.0	1.853329	415	415
58.0	1.853329	396	396
59.0	1.853329	404	404
60.0	1.853329	350	350
61.0	1.853329	368	368
62.0	1.853329	331	331
63.0	1.853329	326	326
64.0	1.853329	305	305
65.0	1.853329	298	298
66.0	1.853329	282	282
67.0	1.853329	278	278
68.0	1.853329	257	257
69.0	1.853329	269	269
70.0	1.853329	253	253
71.0	1.853329	241	241
72.0	1.853329	245	245
73.0	1.853329	211	211
74.0	1.853329	225	225
75.0	1.853329	219	219
76.0	1.853329	237	237
77.0	1.853329	202	202
78.0	1.853329	206	206
79.0	1.853329	198	198
80.0	1.853329	192	192
81.0	1.853329	182	182
82.0	1.853329	172	172
83.0	1.853329	156	156
84.0	1.853329	154	154
85.0	1.853329	161	161
86.0	1.853329	128	128
87.0	1.853329	119	119
88.0	1.853329	126	126
89.0	1.853329	134	134
90.0	1.853329	140	140
91.0	1.853329	123	123
92.0	1.853329	114	114
93.0	1.853329	127	127
94.0	1.853329	117	117
95.0	1.853329	121	121
96.0	1.853329	110	110
97.0	1.853329	109	109
98.0	1.853329	111	111
99.0	1.853329	94	94
100.0	1.853329	120	120
101.0	0	95	95
102.0	0	93	93
103.0	0	90	90
104.0	0	99	99
105.0	0	90	90
106.0	0	73	73
107.0	0	68	68
108.0	0	77	77
109.0	0	89	89
110.0	0	85	85
111.0	0	88	88
112.0	0	91	91
113.0	0	76	76
114.0	0	67	67
115.0	0	73	73
116.0	0	58	58
117.0	0	70	70
118.0	0	65	65
119.0	0	55	55
120.0	0	73	73
121.0	0	51	51
122.0	0	58	58
123.0	0	73	73
124.0	0	61	61
125.0	0	51	51
126.0	0	63	63
127.0	0	67	67
128.0	0	45	45
129.0	0	56	56
130.0	0	50	50
131.0	0	57	57
132.0	0	59	59
133.0	0	56	56
134.0	0	34	34
135.0	0	42	42
136.0	0	49	49
137.0	0	57	57
138.0	0	46	46
139.0	0	35	35
140.0	0	42	42
141.0	0	49	49
142.0	0	41	41
143.0	0	48	48
144.0	0	36	36
145.0	0	38	38
146.0	0	36	36
147.0	0	33	33
148.0	0	40	40
149.0	0	36	36
150.0	0	42	42
151.0	0	28	28
152.0	0	37	37
153.0	0	38	38
154.0	0	39	39
155.0	0	47	47
156.0	0	22	22
157.0	0	35	35
158.0	0	35	35
159.0	0	40	40
160.0	0	27	27
161.0	0	29	29
162.0	0	26	26
163.0	0	33	33
164.0	0	23	23
165.0	0	29	29
166.0	0	28	28
167.0	0	15	15
168.0	0	23	23
169.0	0	28	28
170.0	0	30	30
171.0	0	21	21
172.0	0	32	32
173.0	0	31	31
174.0	0	31	31
175.0	0	21	21
176.0	0	23	23
177.0	0	31	31
178.0	0	25	25
179.0	0	24	24
180.0	0	25	25
181.0	0	35	35
182.0	0	20	20
183.0	0	17	17
184.0	0	18	18
185.0	0	28	28
186.0	0	18	18
187.0	0	22	22
188.0	0	22	22
189.0	0	30	30
190.0	0	21	21
191.0	0	17	17
192.0	0	21	21
193.0	0	18	18
194.0	0	13	13
195.0	0	15	15
196.0	0	14	14
197.0	0	17	17
198.0	0	19	19
199.0	0	16	16
200.0	0	11	11
201.0	0	22	22
202.0	0	15	15
203.0	0	18	18
204.0	0	14	14
205.0	0	13	13
206.0	0	20	20
207.0	0	16	16
208.0	0	21	21
209.0	0	17	17
210.0	0	9	9
211.0	0	18	18
212.0	0	16	16
213.0	0	7	7
214.0	0	17	17
215.0	0	18	18
216.0	0	13	13
217.0	0	15	15
218.0	0	12	12
219.0	0	17	17
220.0	0	9	9
221.0	0	12	12
222.0	0	8	8
223.0	0	10	10
224.0	0	13	13
225.0	0	14	14
226.0	0	8	8
227.0	0	16	16
228.0	0	8	8
229.0	0	12	12
230.0	0	19	19
231.0	0	8	8
232.0	0	13	13
233.0	0	17	17
234.0	0	11	11
235.0	0	12	12
236.0	0	13	13
237.0	0	14	14
238.0	0	14	14
239.0	0	6	6
240.0	0	11	11
241.0	0	11	11
242.0	0	7	7
243.0	0	5	5
244.0	0	10	10
245.0	0	13	13
246.0	0	8	8
247.0	0	10	10
248.0	0	15	15
249.0	0	8	8
250.0	0	14	14
251.0	0	13	13
252.0	0	7	7
253.0	0	7	7
254.0	0	16	16
255.0	0	6	6
256.0	0	7	7
257.0	0	11	11
258.0	0	8	8
259.0	0	13	13
260.0	0	9	9
261.0	0	11	11
262.0	0	3	3
263.0	0	8	8
264.0	0	10	10
265.0	0	7	7
266.0	0	6	6
267.0	0	11	11
268.0	0	13	13
269.0	0	11	11
270.0	0	7	7
271.0	0	9	9
272.0	0	11	11
273.0	0	7	7
274.0	0	10	10
275.0	0	6	6
276.0	0	7	7
277.0	0	12	12
278.0	0	10	10
279.0	0	5	5
280.0	0	9	9
281.0	0	6	6
282.0	0	3	3
283.0	0	4	4
284.0	0	4	4
285.0	0	4	4
286.0	0	2	2
287.0	0	5	5
288.0	0	12	12
289.0	0	5	5
290.0	0	3	3
291.0	0	9	9
292.0	0	8	8
294.0	0	6	6
295.0	0	12	12
296.0	0	10	10
297.0	0	5	5
298.0	0	5	5
299.0	0	4	4
300.0	0	9	9
301.0	0	7	7
302.0	0	2	2
303.0	0	5	5
304.0	0	8	8
305.0	0	9	9
306.0	0	3	3
307.0	0	11	11
308.0	0	3	3
309.0	0	5	5
310.0	0	7	7
311.0	0	10	10
312.0	0	10	10
313.0	0	6	6
314.0	0	7	7
