## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT 06_mergeSamples/bam/1_KB_A10.bam --OUTPUT 07_markDuplicates/bam/1_KB_A10.bam --METRICS_FILE 07_markDuplicates/metrics/1_KB_A10.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jan 11 18:53:11 ACDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	29	70473763	6878870	0	23	19445258	0	0.275922	102938603

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	40060797	40060797
2.0	1.504282	7888473	7888473
3.0	1.758583	1830015	1830015
4.0	1.886822	563749	563749
5.0	1.951491	236589	236589
6.0	1.984102	124951	124951
7.0	2.000547	75345	75345
8.0	2.00884	49974	49974
9.0	2.013022	35093	35093
10.0	2.015131	26071	26071
11.0	2.016195	19616	19616
12.0	2.016731	15511	15511
13.0	2.017001	12443	12443
14.0	2.017138	10107	10107
15.0	2.017207	8387	8387
16.0	2.017241	7026	7026
17.0	2.017259	5971	5971
18.0	2.017268	5091	5091
19.0	2.017272	4303	4303
20.0	2.017274	3776	3776
21.0	2.017275	3510	3510
22.0	2.017276	3023	3023
23.0	2.017276	2673	2673
24.0	2.017276	2268	2268
25.0	2.017276	2176	2176
26.0	2.017276	1911	1911
27.0	2.017276	1754	1754
28.0	2.017276	1578	1578
29.0	2.017276	1434	1434
30.0	2.017276	1324	1324
31.0	2.017276	1203	1203
32.0	2.017276	1065	1065
33.0	2.017276	997	997
34.0	2.017276	907	907
35.0	2.017276	912	912
36.0	2.017276	823	823
37.0	2.017276	762	762
38.0	2.017276	701	701
39.0	2.017276	616	616
40.0	2.017276	651	651
41.0	2.017276	606	606
42.0	2.017276	611	611
43.0	2.017276	554	554
44.0	2.017276	472	472
45.0	2.017276	463	463
46.0	2.017276	422	422
47.0	2.017276	404	404
48.0	2.017276	360	360
49.0	2.017276	342	342
50.0	2.017276	343	343
51.0	2.017276	329	329
52.0	2.017276	308	308
53.0	2.017276	298	298
54.0	2.017276	289	289
55.0	2.017276	277	277
56.0	2.017276	301	301
57.0	2.017276	259	259
58.0	2.017276	227	227
59.0	2.017276	214	214
60.0	2.017276	222	222
61.0	2.017276	212	212
62.0	2.017276	200	200
63.0	2.017276	184	184
64.0	2.017276	200	200
65.0	2.017276	203	203
66.0	2.017276	167	167
67.0	2.017276	146	146
68.0	2.017276	156	156
69.0	2.017276	161	161
70.0	2.017276	145	145
71.0	2.017276	146	146
72.0	2.017276	121	121
