## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT 06_mergeSamples/bam/7_KB_B12.bam --OUTPUT 07_markDuplicates/bam/7_KB_B12.bam --METRICS_FILE 07_markDuplicates/metrics/7_KB_B12.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jan 11 18:58:56 ACDT 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	34	80832608	7975450	0	29	27773610	0	0.343594	88770800

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	38459471	38459471
2.0	1.402292	10014092	10014092
3.0	1.564131	2712126	2712126
4.0	1.629238	866645	866645
5.0	1.65543	353064	353064
6.0	1.665966	180117	180117
7.0	1.670205	106882	106882
8.0	1.671911	70731	70731
9.0	1.672597	50427	50427
10.0	1.672873	36911	36911
11.0	1.672984	28262	28262
12.0	1.673028	22524	22524
13.0	1.673046	17941	17941
14.0	1.673053	14808	14808
15.0	1.673056	12217	12217
16.0	1.673058	10236	10236
17.0	1.673058	8842	8842
18.0	1.673058	7473	7473
19.0	1.673058	6561	6561
20.0	1.673058	5727	5727
21.0	1.673058	5119	5119
22.0	1.673058	4551	4551
23.0	1.673058	4159	4159
24.0	1.673058	3702	3702
25.0	1.673058	3312	3312
26.0	1.673058	3068	3068
27.0	1.673058	2733	2733
28.0	1.673058	2558	2558
29.0	1.673058	2255	2255
30.0	1.673058	2083	2083
31.0	1.673058	1916	1916
32.0	1.673058	1730	1730
33.0	1.673058	1620	1620
34.0	1.673058	1507	1507
35.0	1.673058	1415	1415
36.0	1.673058	1295	1295
37.0	1.673058	1230	1230
38.0	1.673058	1131	1131
39.0	1.673058	1069	1069
40.0	1.673058	969	969
41.0	1.673058	952	952
42.0	1.673058	909	909
43.0	1.673058	863	863
44.0	1.673058	838	838
45.0	1.673058	710	710
46.0	1.673058	683	683
47.0	1.673058	741	741
48.0	1.673058	662	662
49.0	1.673058	626	626
50.0	1.673058	556	556
51.0	1.673058	554	554
52.0	1.673058	534	534
53.0	1.673058	486	486
54.0	1.673058	468	468
55.0	1.673058	422	422
56.0	1.673058	457	457
57.0	1.673058	438	438
58.0	1.673058	422	422
59.0	1.673058	394	394
60.0	1.673058	414	414
61.0	1.673058	393	393
62.0	1.673058	331	331
63.0	1.673058	366	366
64.0	1.673058	330	330
65.0	1.673058	307	307
66.0	1.673058	309	309
67.0	1.673058	253	253
68.0	1.673058	248	248
69.0	1.673058	271	271
70.0	1.673058	242	242
71.0	1.673058	262	262
72.0	1.673058	239	239
73.0	1.673058	260	260
74.0	1.673058	218	218
75.0	1.673058	206	206
76.0	1.673058	205	205
77.0	1.673058	210	210
78.0	1.673058	165	165
79.0	1.673058	162	162
80.0	1.673058	196	196
81.0	1.673058	176	176
82.0	1.673058	159	159
83.0	1.673058	176	176
84.0	1.673058	186	186
85.0	1.673058	143	143
86.0	1.673058	158	158
87.0	1.673058	145	145
88.0	1.673058	146	146
