feat	n.vars	mean.s	median.s	sd.s	cv.s	liptak.s	p.nom	fdr
ENSDARG00000000068	10	2.41994801818831	2.04589564372225	0.829725729815744	0.342869236685885	7.65254755668562	0.23501	0.800323300573301
ENSDARG00000000142	9	5.36828607702957	3.09998065507724	4.7129667085694	0.877927636668951	16.1048582310887	4e-04	0.0134552845528455
ENSDARG00000000151	5	1.08465036764644	0.863996418824969	0.965823584794781	0.890446925206419	2.42535195387757	0.92369	1
ENSDARG00000000161	11	2.47787768173492	2.29250894494599	1.94614955393878	0.785409856299343	8.21819054671041	0.1681	0.694125499001996
ENSDARG00000000183	26	2.79249661833076	2.55834943265637	1.7427966512248	0.624099825147351	14.2389947485104	0.34188	0.90095017510347
ENSDARG00000000189	12	2.10212580702376	1.71142679694813	2.0170578284216	0.959532403665888	7.28197740333375	0.7235	1
ENSDARG00000000241	21	3.2574549906758	1.60333524059651	5.69854044684191	1.74938424725852	14.9275340676835	0.02045	0.21232590966123
ENSDARG00000000324	8	1.44124066546079	1.36176834300083	0.938777464180112	0.651367593683577	4.07644419147655	0.95261	1
ENSDARG00000000394	9	3.48993506844457	3.51804760424465	2.45706197962097	0.704042319250387	10.4698052053337	0.20625	0.756634308510638
ENSDARG00000000423	8	2.23995902301508	2.05592814494596	1.67106599614324	0.746025252682486	6.33556085901582	0.27747	0.835047329215116
ENSDARG00000000442	10	2.29210926976552	2.09736481621725	1.04074668034236	0.454056311394277	7.24828593844436	0.27439	0.831408733064811
ENSDARG00000000476	6	3.08479119700091	1.39887581884712	4.23479676093403	1.37279851065809	7.55616439568158	0.10742	0.57962760756193
ENSDARG00000000503	17	4.61320871513487	4.41430214871328	2.77923434454672	0.60245146408154	19.020746805521	0.95825	1
ENSDARG00000000516	3	3.08673870588821	2.89684862435052	1.31323278610187	0.425443457069032	5.34638826828779	0.11805	0.609687967581047
ENSDARG00000000529	14	1.78017572934178	1.57560903442891	1.36566075499933	0.767149406932025	6.66080766744737	0.61846	1
ENSDARG00000000540	17	2.99758327567137	2.59959564003683	2.10250914013801	0.701401411330969	12.359352467178	0.03331	0.291066789862724
ENSDARG00000000568	6	1.82756555419857	1.82727444131241	1.00851757741093	0.551836608593332	4.47660307927325	0.63292	1
ENSDARG00000000651	6	3.05986266958675	2.81495634932133	1.05031764984422	0.343256467123104	7.4951022234779	0.08807	0.522048173352435
ENSDARG00000000656	9	4.20126635116451	2.41172043961231	3.26039383777724	0.776050258483021	12.6037990534935	0.0101	0.131204866562009
ENSDARG00000000666	8	3.43627053612919	3.70968104193975	2.09626222847118	0.610039927424495	9.71924079235392	0.17888	0.715436052123552
ENSDARG00000000729	27	2.2269824760202	2.49364256359938	0.93744433987481	0.420948233750856	11.5717403880976	0.25487	0.813990447703589
ENSDARG00000000767	4	2.05767660506897	2.10235837386867	1.69888783075075	0.825634031395232	4.11535321013795	0.38821	0.944147590361446
ENSDARG00000000857	7	1.28332368566177	1.24136764278055	1.03691709121536	0.807993418028951	3.39535532385986	0.92408	1
ENSDARG00000000861	30	3.80077786216099	2.82297454442035	4.43094025001103	1.16579826832914	20.8177177117184	0.00087	0.0254390459363958
ENSDARG00000000935	21	1.48530826929296	1.54210501327889	1.09044517127311	0.734154110508106	6.80653757437886	0.90518	1
ENSDARG00000001015	35	2.26448664755715	2.1384801920119	1.55592699900147	0.687099215480007	13.3968836747119	0.35393	0.913139027431421
ENSDARG00000001127	14	2.94622562546468	2.73688293843001	2.5741040161204	0.873695481388808	11.0237668746226	0.77311	1
ENSDARG00000001129	32	2.02160500998788	1.73249586831896	1.57550460392437	0.779333547424193	11.435924891545	0.7965	1
ENSDARG00000001162	14	3.68044967795374	3.98123249547381	2.36860113108579	0.643562971468932	13.7709817241654	0.06826	0.449722531847134
ENSDARG00000001169	3	3.84519693568335	3.81985928999704	0.25712346504294	0.0668687376339141	6.66007645771172	0.05154	0.37843256433008
ENSDARG00000001210	3	3.79787809031657	4.37471142575807	3.54483737276419	0.933373133224692	6.57811781338096	0.09444	0.542702083333333
ENSDARG00000001220	36	1.8756792673756	1.77647939928622	1.21326583438415	0.646840776825199	11.2540756042536	0.98545	1
ENSDARG00000001234	8	3.6809676445898	3.64654290400936	2.21714323098152	0.602326193831187	10.4113487312709	0.01679	0.185002996005326
ENSDARG00000001241	6	2.9629923790718	1.57354162991676	3.76761284504625	1.27155671126853	7.25781944048111	0.4487	0.979422975468214
ENSDARG00000001244	11	3.24370085067196	1.99330673363363	2.99643076618036	0.923769146454927	10.7581386538355	0.62556	1
ENSDARG00000001303	3	2.1823539270301	2.35063583201308	0.830467149584914	0.380537335992549	3.7799478817136	0.30689	0.872210548885077
ENSDARG00000001442	3	0.732176755585079	0.57210937755394	0.823955084000764	1.12534996189867	1.2681673407943	0.91584	1
ENSDARG00000001447	10	1.350944185429	1.05469756076285	1.33767918976229	0.990180944697953	4.27206061771649	0.89395	1
ENSDARG00000001463	21	1.58768950100356	1.39540085529522	1.01490763318604	0.639235588913653	7.27570731843549	0.90657	1
ENSDARG00000001557	4	3.14031477581492	3.1485503110521	1.38715870636899	0.441726006912482	6.28062955162984	0.1024	0.566795986622074
ENSDARG00000001558	10	5.17510425513331	4.08839983668949	3.60464215297136	0.696535175962074	16.3651165750504	0.00156	0.0381923076923077
ENSDARG00000001559	37	2.40572673894888	1.6739885573645	2.72839043134099	1.13412316834167	14.6334644658148	0.21131	0.769094656992084
ENSDARG00000001621	3	2.48960632334699	3.06336883915592	1.04745208147207	0.420730005241909	4.31212464288174	0.26182	0.819735338630344
ENSDARG00000001634	40	2.9804710448625	2.18775563443623	2.58247519213593	0.866465452361094	18.8501540038948	0.01393	0.164087482219061
ENSDARG00000001656	2	0.28605468877697	0.28605468877697	0.404542420448805	1.4142135623731	0.404542420448805	0.96404	1
ENSDARG00000001676	14	4.49156258750497	3.28146812508257	4.67574036581939	1.04100527928227	16.8058883336954	0.58994	1
ENSDARG00000001710	28	2.67780725395185	2.49410927665102	1.40260361465523	0.523788115289217	14.1696241058428	0.64388	1
ENSDARG00000001734	6	1.40146312965853	1.42125704015025	0.82982390430588	0.592112547768608	3.43286956098738	0.9061	1
ENSDARG00000001767	3	1.188839343887	0.69154966776939	1.50061105547849	1.26224881704548	2.05913014564914	0.76034	1
ENSDARG00000001781	6	2.86258865788373	3.11388472432289	0.797977745808376	0.278760884352245	7.01188155529367	0.1114	0.591230461242793
ENSDARG00000001785	5	1.45484888987194	1.53924735785991	0.402926747452737	0.276954362929201	3.25314101474376	0.86002	1
ENSDARG00000001803	15	2.16312631579624	1.54184275175628	1.88957901027552	0.87354076203357	8.37775219682186	0.29333	0.857713100282486
ENSDARG00000001807	19	2.51762789844894	2.26308615599406	1.48853925045769	0.591246725290403	10.9740855867776	0.37058	0.92715
ENSDARG00000001817	7	3.16928731932956	1.7158652680656	4.51171295289845	1.42357334577443	8.38514608025656	0.13549	0.633747319413093
ENSDARG00000001859	6	1.82141393446702	1.69587778825119	1.30324253952897	0.715511457811664	4.46153474983931	0.48114	1
ENSDARG00000001879	20	3.34533807328849	1.35599132993373	5.2301491599285	1.56341423358364	14.9608066791825	0.00954	0.127740291262136
ENSDARG00000001880	10	1.1454452700303	0.692095913777031	1.17620759205757	1.02685621289131	3.62221598836234	0.9577	1
ENSDARG00000001889	4	17.1067929863448	19.0228433264068	11.6160367314545	0.679030648276788	34.2135859726895	0.00269	0.0551666666666667
ENSDARG00000001891	17	3.3279905045893	3.17964686784153	1.61497389854279	0.485269983888396	13.7216563714743	0.01158	0.144096992481203
ENSDARG00000001897	9	1.56134270134995	1.60333524059651	1.39683644710513	0.894637958660466	4.68402810404984	0.7991	1
ENSDARG00000001898	13	1.10021733282942	0.708546456031721	0.893461779688302	0.81207753507263	3.96689000767072	0.99007	1
ENSDARG00000001906	4	4.94289705600803	5.25719022651858	3.2350122418511	0.654476960615431	9.88579411201606	0.02964	0.271017679558011
ENSDARG00000001929	6	4.70104809603184	5.22586817641393	2.86315334244476	0.609045745535246	11.5151690915604	0.0092	0.124734451718494
ENSDARG00000001930	16	2.15423132305974	2.19132569011834	1.31138249989269	0.608747299259433	8.61692529223895	0.3971	0.949463708513708
ENSDARG00000001940	8	1.66170048569761	1.09519391582336	1.58661246331617	0.954812541112115	4.69999872695103	0.84153	1
ENSDARG00000001950	6	7.87131047003065	7.88648187207496	4.86281961634572	0.617790345694087	19.2806942586019	0.02935	0.269258592017738
