## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT results/06_mergeSamples/bam/14_KB_C10.bam --OUTPUT results/07_markDuplicates/bam/14_KB_C10.bam --METRICS_FILE results/07_markDuplicates/metrics/14_KB_C10.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Aug 11 14:46:19 ACST 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	32	79332801	7883611	0	21	16818411	0	0.211998	159605250

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	50751213	50751213
2.0	1.608319	9121917	9121917
3.0	1.97837	1800104	1800104
4.0	2.20348	447414	447414
5.0	2.340418	157504	157504
6.0	2.42372	75570	75570
7.0	2.474394	43661	43661
8.0	2.50522	27878	27878
9.0	2.523972	18800	18800
10.0	2.53538	13376	13376
11.0	2.542319	9971	9971
12.0	2.54654	7680	7680
13.0	2.549108	5947	5947
14.0	2.55067	4637	4637
15.0	2.55162	3832	3832
16.0	2.552198	3157	3157
17.0	2.55255	2604	2604
18.0	2.552764	2193	2193
19.0	2.552894	1843	1843
20.0	2.552973	1579	1579
21.0	2.553021	1357	1357
22.0	2.553051	1176	1176
23.0	2.553069	1044	1044
24.0	2.553079	882	882
25.0	2.553086	773	773
26.0	2.55309	639	639
27.0	2.553092	590	590
28.0	2.553094	537	537
29.0	2.553095	507	507
30.0	2.553095	428	428
31.0	2.553096	392	392
32.0	2.553096	323	323
33.0	2.553096	330	330
34.0	2.553096	328	328
35.0	2.553096	258	258
36.0	2.553096	267	267
37.0	2.553096	251	251
38.0	2.553096	205	205
39.0	2.553096	189	189
40.0	2.553096	188	188
41.0	2.553096	145	145
42.0	2.553096	154	154
43.0	2.553096	133	133
44.0	2.553096	124	124
45.0	2.553096	129	129
46.0	2.553096	105	105
47.0	2.553096	87	87
48.0	2.553096	93	93
49.0	2.553096	94	94
50.0	2.553096	84	84
51.0	2.553096	68	68
52.0	2.553096	76	76
53.0	2.553096	79	79
54.0	2.553096	68	68
55.0	2.553096	54	54
56.0	2.553096	70	70
57.0	2.553096	67	67
58.0	2.553096	58	58
59.0	2.553096	49	49
60.0	2.553096	48	48
61.0	2.553096	55	55
62.0	2.553096	43	43
63.0	2.553096	54	54
64.0	2.553096	50	50
65.0	2.553096	53	53
66.0	2.553096	35	35
67.0	2.553096	30	30
68.0	2.553096	23	23
69.0	2.553096	29	29
70.0	2.553096	28	28
71.0	2.553096	18	18
72.0	2.553096	20	20
73.0	2.553096	22	22
74.0	2.553096	16	16
75.0	2.553096	14	14
76.0	2.553096	19	19
77.0	2.553096	20	20
78.0	2.553096	18	18
79.0	2.553096	19	19
80.0	2.553096	9	9
81.0	2.553096	20	20
82.0	2.553096	19	19
83.0	2.553096	14	14
84.0	2.553096	10	10
85.0	2.553096	16	16
86.0	2.553096	13	13
87.0	2.553096	16	16
88.0	2.553096	7	7
89.0	2.553096	9	9
90.0	2.553096	12	12
91.0	2.553096	11	11
92.0	2.553096	8	8
93.0	2.553096	9	9
94.0	2.553096	7	7
95.0	2.553096	10	10
96.0	2.553096	6	6
97.0	2.553096	7	7
98.0	2.553096	8	8
99.0	2.553096	6	6
100.0	2.553096	2	2
101.0	0	17	17
102.0	0	7	7
103.0	0	5	5
104.0	0	9	9
105.0	0	10	10
106.0	0	5	5
107.0	0	7	7
108.0	0	3	3
109.0	0	5	5
110.0	0	6	6
111.0	0	3	3
112.0	0	6	6
113.0	0	2	2
114.0	0	1	1
115.0	0	4	4
116.0	0	7	7
117.0	0	4	4
118.0	0	5	5
119.0	0	3	3
120.0	0	2	2
121.0	0	4	4
122.0	0	3	3
123.0	0	6	6
124.0	0	1	1
125.0	0	3	3
126.0	0	3	3
127.0	0	2	2
128.0	0	7	7
129.0	0	3	3
130.0	0	2	2
131.0	0	2	2
132.0	0	5	5
133.0	0	3	3
134.0	0	4	4
135.0	0	2	2
136.0	0	1	1
137.0	0	4	4
139.0	0	3	3
140.0	0	3	3
141.0	0	2	2
144.0	0	8	8
145.0	0	2	2
146.0	0	2	2
147.0	0	3	3
148.0	0	2	2
149.0	0	1	1
150.0	0	2	2
151.0	0	1	1
152.0	0	3	3
153.0	0	2	2
154.0	0	2	2
155.0	0	1	1
156.0	0	1	1
157.0	0	1	1
158.0	0	1	1
159.0	0	2	2
160.0	0	3	3
163.0	0	1	1
165.0	0	2	2
166.0	0	3	3
167.0	0	1	1
168.0	0	2	2
169.0	0	1	1
171.0	0	1	1
173.0	0	5	5
175.0	0	2	2
179.0	0	1	1
180.0	0	1	1
181.0	0	1	1
182.0	0	3	3
184.0	0	2	2
187.0	0	1	1
193.0	0	3	3
195.0	0	2	2
197.0	0	3	3
198.0	0	1	1
199.0	0	1	1
200.0	0	1	1
201.0	0	1	1
205.0	0	1	1
206.0	0	2	2
207.0	0	1	1
208.0	0	1	1
211.0	0	1	1
218.0	0	2	2
221.0	0	1	1
222.0	0	1	1
226.0	0	1	1
229.0	0	1	1
232.0	0	1	1
234.0	0	1	1
237.0	0	1	1
238.0	0	1	1
241.0	0	1	1
261.0	0	1	1
285.0	0	1	1
286.0	0	1	1
294.0	0	1	1
308.0	0	1	1
309.0	0	1	1
324.0	0	1	1
341.0	0	1	1
366.0	0	1	1

