## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT results/06_mergeSamples/bam/23_KB_C7.bam --OUTPUT results/07_markDuplicates/bam/23_KB_C7.bam --METRICS_FILE results/07_markDuplicates/metrics/23_KB_C7.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu May 12 16:58:24 ACST 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	26	72148506	7080516	0	18	14340866	0	0.198769	156544769

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	47633839	47633839
2.0	1.630728	7988679	7988679
3.0	2.028545	1491751	1491751
4.0	2.27946	365499	365499
5.0	2.437719	130101	130101
6.0	2.537537	63637	63637
7.0	2.600495	36668	36668
8.0	2.640204	23147	23147
9.0	2.66525	15799	15799
10.0	2.681047	11364	11364
11.0	2.691011	8413	8413
12.0	2.697295	6316	6316
13.0	2.701259	5212	5212
14.0	2.703759	3950	3950
15.0	2.705336	3223	3223
16.0	2.70633	2603	2603
17.0	2.706958	2179	2179
18.0	2.707353	1737	1737
19.0	2.707603	1572	1572
20.0	2.70776	1256	1256
21.0	2.707859	1073	1073
22.0	2.707922	943	943
23.0	2.707962	785	785
24.0	2.707987	769	769
25.0	2.708002	609	609
26.0	2.708012	553	553
27.0	2.708018	469	469
28.0	2.708022	428	428
29.0	2.708025	338	338
30.0	2.708026	359	359
31.0	2.708027	334	334
32.0	2.708028	310	310
33.0	2.708028	280	280
34.0	2.708029	251	251
35.0	2.708029	221	221
36.0	2.708029	218	218
37.0	2.708029	162	162
38.0	2.708029	155	155
39.0	2.708029	150	150
40.0	2.708029	142	142
41.0	2.708029	140	140
42.0	2.708029	117	117
43.0	2.708029	104	104
44.0	2.708029	101	101
45.0	2.708029	90	90
46.0	2.708029	79	79
47.0	2.708029	84	84
48.0	2.708029	71	71
49.0	2.708029	77	77
50.0	2.708029	67	67
51.0	2.708029	65	65
52.0	2.708029	64	64
53.0	2.708029	51	51
54.0	2.708029	52	52
55.0	2.708029	51	51
56.0	2.708029	58	58
57.0	2.708029	34	34
58.0	2.708029	45	45
59.0	2.708029	28	28
60.0	2.708029	30	30
61.0	2.708029	34	34
62.0	2.708029	36	36
63.0	2.708029	33	33
64.0	2.708029	37	37
65.0	2.708029	35	35
66.0	2.708029	15	15
67.0	2.708029	23	23
68.0	2.708029	15	15
69.0	2.708029	26	26
70.0	2.708029	16	16
71.0	2.708029	17	17
72.0	2.708029	24	24
73.0	2.708029	12	12
74.0	2.708029	15	15
75.0	2.708029	16	16
76.0	2.708029	14	14
77.0	2.708029	14	14
78.0	2.708029	16	16
79.0	2.708029	6	6
80.0	2.708029	9	9
81.0	2.708029	15	15
82.0	2.708029	11	11
83.0	2.708029	14	14
84.0	2.708029	8	8
85.0	2.708029	12	12
86.0	2.708029	10	10
87.0	2.708029	8	8
88.0	2.708029	7	7
89.0	2.708029	9	9
90.0	2.708029	9	9
91.0	2.708029	4	4
92.0	2.708029	7	7
93.0	2.708029	7	7
94.0	2.708029	2	2
95.0	2.708029	4	4
96.0	2.708029	6	6
97.0	2.708029	8	8
98.0	2.708029	9	9
99.0	2.708029	5	5
100.0	2.708029	7	7
101.0	0	3	3
102.0	0	3	3
103.0	0	5	5
104.0	0	6	6
105.0	0	4	4
106.0	0	1	1
107.0	0	2	2
108.0	0	1	1
109.0	0	1	1
110.0	0	8	8
111.0	0	2	2
112.0	0	6	6
113.0	0	2	2
114.0	0	5	5
115.0	0	5	5
116.0	0	2	2
117.0	0	1	1
118.0	0	3	3
119.0	0	3	3
120.0	0	7	7
121.0	0	2	2
122.0	0	1	1
123.0	0	3	3
124.0	0	4	4
125.0	0	1	1
126.0	0	4	4
127.0	0	1	1
128.0	0	2	2
129.0	0	4	4
130.0	0	1	1
133.0	0	1	1
134.0	0	4	4
135.0	0	2	2
136.0	0	1	1
138.0	0	2	2
139.0	0	2	2
140.0	0	2	2
141.0	0	1	1
143.0	0	1	1
144.0	0	1	1
145.0	0	2	2
147.0	0	2	2
148.0	0	1	1
150.0	0	1	1
151.0	0	1	1
152.0	0	2	2
153.0	0	2	2
154.0	0	2	2
155.0	0	1	1
156.0	0	2	2
159.0	0	1	1
160.0	0	3	3
162.0	0	2	2
163.0	0	2	2
164.0	0	2	2
165.0	0	1	1
171.0	0	1	1
172.0	0	1	1
173.0	0	1	1
176.0	0	1	1
180.0	0	1	1
181.0	0	1	1
182.0	0	1	1
183.0	0	1	1
186.0	0	1	1
198.0	0	1	1
200.0	0	2	2
207.0	0	1	1
209.0	0	1	1
213.0	0	1	1
235.0	0	1	1
254.0	0	1	1
256.0	0	1	1
257.0	0	1	1
259.0	0	1	1
264.0	0	1	1
272.0	0	1	1
289.0	0	1	1
311.0	0	1	1
337.0	0	1	1
425.0	0	1	1

