## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT results/06_mergeSamples/bam/4_KB_A6.bam --OUTPUT results/07_markDuplicates/bam/4_KB_A6.bam --METRICS_FILE results/07_markDuplicates/metrics/4_KB_A6.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Aug 11 14:36:17 ACST 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	27	76217220	7226793	0	19	26003770	0	0.34118	84502921

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	33048678	33048678
2.0	1.405779	11834046	11834046
3.0	1.570435	3643064	3643064
4.0	1.637249	1058821	1058821
5.0	1.66436	328802	328802
6.0	1.675362	121984	121984
7.0	1.679826	56996	56996
8.0	1.681637	32263	32263
9.0	1.682372	20838	20838
10.0	1.682671	14200	14200
11.0	1.682792	10204	10204
12.0	1.682841	7486	7486
13.0	1.682861	5718	5718
14.0	1.682869	4528	4528
15.0	1.682872	3626	3626
16.0	1.682873	2935	2935
17.0	1.682874	2394	2394
18.0	1.682874	2055	2055
19.0	1.682874	1664	1664
20.0	1.682874	1456	1456
21.0	1.682874	1171	1171
22.0	1.682874	1015	1015
23.0	1.682874	895	895
24.0	1.682874	807	807
25.0	1.682874	716	716
26.0	1.682874	656	656
27.0	1.682874	592	592
28.0	1.682874	494	494
29.0	1.682874	428	428
30.0	1.682874	424	424
31.0	1.682874	367	367
32.0	1.682874	291	291
33.0	1.682874	264	264
34.0	1.682874	236	236
35.0	1.682874	245	245
36.0	1.682874	182	182
37.0	1.682874	192	192
38.0	1.682874	182	182
39.0	1.682874	165	165
40.0	1.682874	145	145
41.0	1.682874	109	109
42.0	1.682874	107	107
43.0	1.682874	120	120
44.0	1.682874	83	83
45.0	1.682874	108	108
46.0	1.682874	95	95
47.0	1.682874	100	100
48.0	1.682874	78	78
49.0	1.682874	78	78
50.0	1.682874	76	76
51.0	1.682874	75	75
52.0	1.682874	69	69
53.0	1.682874	53	53
54.0	1.682874	55	55
55.0	1.682874	42	42
56.0	1.682874	46	46
57.0	1.682874	42	42
58.0	1.682874	33	33
59.0	1.682874	54	54
60.0	1.682874	26	26
61.0	1.682874	40	40
62.0	1.682874	36	36
63.0	1.682874	32	32
64.0	1.682874	23	23
65.0	1.682874	29	29
66.0	1.682874	27	27
67.0	1.682874	23	23
68.0	1.682874	27	27
69.0	1.682874	25	25
70.0	1.682874	13	13
71.0	1.682874	13	13
72.0	1.682874	20	20
73.0	1.682874	25	25
74.0	1.682874	17	17
75.0	1.682874	18	18
76.0	1.682874	21	21
77.0	1.682874	11	11
78.0	1.682874	9	9
79.0	1.682874	14	14
80.0	1.682874	13	13
81.0	1.682874	15	15
82.0	1.682874	6	6
83.0	1.682874	16	16
84.0	1.682874	11	11
85.0	1.682874	8	8
86.0	1.682874	8	8
87.0	1.682874	12	12
88.0	1.682874	8	8
89.0	1.682874	5	5
90.0	1.682874	9	9
91.0	1.682874	10	10
92.0	1.682874	9	9
93.0	1.682874	12	12
94.0	1.682874	3	3
95.0	1.682874	9	9
96.0	1.682874	9	9
97.0	1.682874	7	7
98.0	1.682874	8	8
99.0	1.682874	6	6
100.0	1.682874	6	6
101.0	0	5	5
102.0	0	5	5
103.0	0	3	3
104.0	0	5	5
105.0	0	2	2
106.0	0	7	7
107.0	0	5	5
108.0	0	3	3
109.0	0	4	4
110.0	0	4	4
111.0	0	3	3
112.0	0	3	3
113.0	0	5	5
114.0	0	3	3
115.0	0	5	5
116.0	0	2	2
117.0	0	3	3
118.0	0	3	3
119.0	0	3	3
120.0	0	4	4
122.0	0	4	4
123.0	0	3	3
124.0	0	1	1
125.0	0	5	5
126.0	0	2	2
127.0	0	1	1
128.0	0	1	1
129.0	0	1	1
130.0	0	2	2
131.0	0	3	3
132.0	0	4	4
133.0	0	1	1
135.0	0	1	1
136.0	0	1	1
137.0	0	2	2
138.0	0	2	2
140.0	0	1	1
141.0	0	2	2
142.0	0	1	1
144.0	0	1	1
145.0	0	4	4
146.0	0	3	3
147.0	0	2	2
149.0	0	3	3
150.0	0	1	1
151.0	0	2	2
152.0	0	1	1
157.0	0	2	2
161.0	0	2	2
162.0	0	1	1
163.0	0	2	2
164.0	0	1	1
166.0	0	1	1
168.0	0	1	1
170.0	0	1	1
174.0	0	1	1
179.0	0	1	1
182.0	0	1	1
193.0	0	1	1
194.0	0	1	1
