## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT results/06_mergeSamples/bam/6_KB_B11.bam --OUTPUT results/07_markDuplicates/bam/6_KB_B11.bam --METRICS_FILE results/07_markDuplicates/metrics/6_KB_B11.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Aug 11 14:37:47 ACST 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	42	77834762	7455382	0	30	20048336	0	0.257576	123846835

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	43874501	43874501
2.0	1.533404	10467622	10467622
3.0	1.817924	2397542	2397542
4.0	1.969688	604134	604134
5.0	2.05064	193268	193268
6.0	2.09382	84106	84106
7.0	2.116852	45946	45946
8.0	2.129138	28720	28720
9.0	2.135691	19675	19675
10.0	2.139186	13719	13719
11.0	2.141051	10150	10150
12.0	2.142045	7789	7789
13.0	2.142576	5817	5817
14.0	2.142859	4683	4683
15.0	2.14301	3821	3821
16.0	2.14309	3142	3142
17.0	2.143133	2625	2625
18.0	2.143156	2147	2147
19.0	2.143168	1883	1883
20.0	2.143175	1550	1550
21.0	2.143178	1365	1365
22.0	2.14318	1174	1174
23.0	2.143181	970	970
24.0	2.143182	881	881
25.0	2.143182	812	812
26.0	2.143182	699	699
27.0	2.143182	623	623
28.0	2.143182	574	574
29.0	2.143182	467	467
30.0	2.143182	459	459
31.0	2.143182	361	361
32.0	2.143182	370	370
33.0	2.143182	324	324
34.0	2.143182	294	294
35.0	2.143182	275	275
36.0	2.143182	226	226
37.0	2.143182	209	209
38.0	2.143182	224	224
39.0	2.143182	197	197
40.0	2.143182	188	188
41.0	2.143182	173	173
42.0	2.143182	157	157
43.0	2.143182	115	115
44.0	2.143182	127	127
45.0	2.143182	128	128
46.0	2.143182	111	111
47.0	2.143182	109	109
48.0	2.143182	105	105
49.0	2.143182	102	102
50.0	2.143182	106	106
51.0	2.143182	84	84
52.0	2.143182	77	77
53.0	2.143182	80	80
54.0	2.143182	55	55
55.0	2.143182	53	53
56.0	2.143182	57	57
57.0	2.143182	53	53
58.0	2.143182	64	64
59.0	2.143182	61	61
60.0	2.143182	47	47
61.0	2.143182	41	41
62.0	2.143182	49	49
63.0	2.143182	41	41
64.0	2.143182	32	32
65.0	2.143182	38	38
66.0	2.143182	32	32
67.0	2.143182	32	32
68.0	2.143182	23	23
69.0	2.143182	26	26
70.0	2.143182	30	30
71.0	2.143182	26	26
72.0	2.143182	27	27
73.0	2.143182	15	15
74.0	2.143182	21	21
75.0	2.143182	16	16
76.0	2.143182	17	17
77.0	2.143182	22	22
78.0	2.143182	18	18
79.0	2.143182	24	24
80.0	2.143182	18	18
81.0	2.143182	18	18
82.0	2.143182	19	19
83.0	2.143182	20	20
84.0	2.143182	12	12
85.0	2.143182	12	12
86.0	2.143182	7	7
87.0	2.143182	7	7
88.0	2.143182	16	16
89.0	2.143182	10	10
90.0	2.143182	12	12
91.0	2.143182	3	3
92.0	2.143182	13	13
93.0	2.143182	15	15
94.0	2.143182	8	8
95.0	2.143182	11	11
96.0	2.143182	7	7
97.0	2.143182	12	12
98.0	2.143182	8	8
99.0	2.143182	9	9
100.0	2.143182	8	8
101.0	0	6	6
102.0	0	7	7
103.0	0	7	7
104.0	0	6	6
105.0	0	10	10
106.0	0	8	8
107.0	0	7	7
108.0	0	5	5
109.0	0	7	7
110.0	0	4	4
111.0	0	2	2
112.0	0	2	2
113.0	0	4	4
114.0	0	4	4
115.0	0	1	1
116.0	0	4	4
117.0	0	8	8
118.0	0	7	7
119.0	0	1	1
121.0	0	3	3
122.0	0	4	4
123.0	0	4	4
124.0	0	4	4
125.0	0	5	5
126.0	0	4	4
127.0	0	5	5
128.0	0	3	3
129.0	0	2	2
131.0	0	5	5
132.0	0	5	5
133.0	0	3	3
134.0	0	4	4
135.0	0	1	1
136.0	0	3	3
137.0	0	1	1
138.0	0	2	2
142.0	0	2	2
143.0	0	3	3
144.0	0	3	3
145.0	0	2	2
146.0	0	3	3
147.0	0	2	2
148.0	0	2	2
149.0	0	2	2
150.0	0	2	2
151.0	0	1	1
152.0	0	1	1
153.0	0	1	1
154.0	0	3	3
155.0	0	1	1
156.0	0	1	1
157.0	0	3	3
158.0	0	1	1
159.0	0	1	1
160.0	0	4	4
162.0	0	1	1
163.0	0	1	1
164.0	0	2	2
165.0	0	2	2
166.0	0	2	2
169.0	0	2	2
172.0	0	1	1
173.0	0	1	1
174.0	0	1	1
175.0	0	1	1
176.0	0	1	1
177.0	0	2	2
180.0	0	2	2
182.0	0	1	1
184.0	0	1	1
185.0	0	1	1
186.0	0	1	1
188.0	0	1	1
189.0	0	1	1
192.0	0	1	1
193.0	0	1	1
194.0	0	1	1
197.0	0	1	1
198.0	0	2	2
199.0	0	1	1
201.0	0	1	1
204.0	0	1	1
206.0	0	2	2
208.0	0	2	2
211.0	0	1	1
216.0	0	1	1
218.0	0	1	1
225.0	0	1	1
226.0	0	1	1
227.0	0	1	1
230.0	0	1	1
233.0	0	1	1
259.0	0	1	1
275.0	0	1	1
277.0	0	1	1
288.0	0	1	1
289.0	0	1	1
291.0	0	1	1
313.0	0	1	1
369.0	0	1	1
401.0	0	1	1
406.0	0	1	1
426.0	0	1	1
504.0	0	1	1
576.0	0	1	1

