## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --BARCODE_TAG BX --INPUT results/06_mergeSamples/bam/9_KB_B5.bam --OUTPUT results/07_markDuplicates/bam/9_KB_B5.bam --METRICS_FILE results/07_markDuplicates/metrics/9_KB_B5.tsv --DUPLICATE_SCORING_STRATEGY RANDOM --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu May 12 17:23:57 ACST 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	28	85957095	8637170	0	16	21032579	0	0.244687	145643315

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	50396625	50396625
2.0	1.554222	11052454	11052454
3.0	1.861385	2394434	2394434
4.0	2.031621	597472	597472
5.0	2.12597	200130	200130
6.0	2.178261	91666	91666
7.0	2.207241	51432	51432
8.0	2.223303	32750	32750
9.0	2.232204	22409	22409
10.0	2.237138	15868	15868
11.0	2.239872	11890	11890
12.0	2.241387	9174	9174
13.0	2.242227	7062	7062
14.0	2.242693	5586	5586
15.0	2.242951	4572	4572
16.0	2.243094	3812	3812
17.0	2.243173	3054	3054
18.0	2.243217	2571	2571
19.0	2.243241	2219	2219
20.0	2.243255	2000	2000
21.0	2.243262	1637	1637
22.0	2.243266	1436	1436
23.0	2.243269	1300	1300
24.0	2.24327	1073	1073
25.0	2.243271	1024	1024
26.0	2.243271	830	830
27.0	2.243271	731	731
28.0	2.243271	721	721
29.0	2.243271	613	613
30.0	2.243271	539	539
31.0	2.243271	535	535
32.0	2.243271	479	479
33.0	2.243271	415	415
34.0	2.243271	364	364
35.0	2.243271	345	345
36.0	2.243271	314	314
37.0	2.243271	291	291
38.0	2.243271	258	258
39.0	2.243271	243	243
40.0	2.243271	230	230
41.0	2.243271	204	204
42.0	2.243271	183	183
43.0	2.243271	180	180
44.0	2.243271	152	152
45.0	2.243271	167	167
46.0	2.243271	150	150
47.0	2.243271	145	145
48.0	2.243271	131	131
49.0	2.243271	128	128
50.0	2.243271	113	113
51.0	2.243271	116	116
52.0	2.243271	91	91
53.0	2.243271	104	104
54.0	2.243271	94	94
55.0	2.243271	94	94
56.0	2.243271	85	85
57.0	2.243271	72	72
58.0	2.243271	75	75
59.0	2.243271	64	64
60.0	2.243271	66	66
61.0	2.243271	66	66
62.0	2.243271	49	49
63.0	2.243271	58	58
64.0	2.243271	48	48
65.0	2.243271	32	32
66.0	2.243271	54	54
67.0	2.243271	45	45
68.0	2.243271	31	31
69.0	2.243271	46	46
70.0	2.243271	38	38
71.0	2.243271	45	45
72.0	2.243271	34	34
73.0	2.243271	36	36
74.0	2.243271	31	31
75.0	2.243271	33	33
76.0	2.243271	27	27
77.0	2.243271	31	31
78.0	2.243271	26	26
79.0	2.243271	25	25
80.0	2.243271	28	28
81.0	2.243271	16	16
82.0	2.243271	21	21
83.0	2.243271	16	16
84.0	2.243271	30	30
85.0	2.243271	26	26
86.0	2.243271	17	17
87.0	2.243271	19	19
88.0	2.243271	23	23
89.0	2.243271	22	22
90.0	2.243271	19	19
91.0	2.243271	17	17
92.0	2.243271	13	13
93.0	2.243271	11	11
94.0	2.243271	11	11
95.0	2.243271	18	18
96.0	2.243271	12	12
97.0	2.243271	11	11
98.0	2.243271	10	10
99.0	2.243271	13	13
100.0	2.243271	16	16
101.0	0	8	8
102.0	0	10	10
103.0	0	13	13
104.0	0	12	12
105.0	0	13	13
106.0	0	17	17
107.0	0	7	7
108.0	0	8	8
109.0	0	6	6
110.0	0	11	11
111.0	0	10	10
112.0	0	7	7
113.0	0	10	10
114.0	0	9	9
115.0	0	2	2
116.0	0	6	6
117.0	0	5	5
118.0	0	6	6
119.0	0	4	4
120.0	0	12	12
121.0	0	6	6
122.0	0	1	1
123.0	0	5	5
124.0	0	7	7
125.0	0	5	5
126.0	0	3	3
127.0	0	4	4
128.0	0	6	6
129.0	0	8	8
130.0	0	2	2
131.0	0	4	4
132.0	0	5	5
133.0	0	3	3
134.0	0	2	2
135.0	0	2	2
136.0	0	2	2
137.0	0	7	7
138.0	0	1	1
139.0	0	3	3
140.0	0	7	7
141.0	0	1	1
142.0	0	3	3
143.0	0	5	5
144.0	0	3	3
145.0	0	2	2
146.0	0	3	3
147.0	0	3	3
148.0	0	4	4
149.0	0	2	2
150.0	0	1	1
151.0	0	3	3
152.0	0	3	3
153.0	0	3	3
155.0	0	1	1
156.0	0	2	2
157.0	0	4	4
158.0	0	3	3
159.0	0	1	1
160.0	0	1	1
161.0	0	3	3
162.0	0	1	1
163.0	0	2	2
164.0	0	1	1
165.0	0	4	4
166.0	0	3	3
167.0	0	3	3
168.0	0	1	1
169.0	0	1	1
170.0	0	4	4
171.0	0	1	1
172.0	0	1	1
173.0	0	2	2
175.0	0	2	2
176.0	0	1	1
177.0	0	1	1
178.0	0	2	2
179.0	0	1	1
180.0	0	3	3
181.0	0	1	1
182.0	0	1	1
183.0	0	3	3
184.0	0	2	2
185.0	0	2	2
186.0	0	1	1
191.0	0	1	1
192.0	0	2	2
195.0	0	2	2
196.0	0	1	1
198.0	0	1	1
199.0	0	1	1
200.0	0	1	1
201.0	0	1	1
202.0	0	2	2
203.0	0	1	1
205.0	0	1	1
206.0	0	1	1
210.0	0	1	1
211.0	0	1	1
213.0	0	1	1
214.0	0	1	1
218.0	0	2	2
220.0	0	1	1
221.0	0	1	1
222.0	0	1	1
226.0	0	1	1
228.0	0	3	3
237.0	0	1	1
240.0	0	1	1
241.0	0	1	1
243.0	0	1	1
253.0	0	1	1
256.0	0	1	1
257.0	0	1	1
260.0	0	1	1
261.0	0	1	1
262.0	0	1	1
265.0	0	1	1
266.0	0	1	1
267.0	0	1	1
269.0	0	1	1
275.0	0	1	1
285.0	0	1	1
286.0	0	1	1
288.0	0	1	1
290.0	0	1	1
292.0	0	1	1
295.0	0	1	1
304.0	0	1	1
319.0	0	2	2
320.0	0	1	1
322.0	0	1	1
325.0	0	1	1
340.0	0	1	1
363.0	0	1	1
372.0	0	1	1
398.0	0	1	1
402.0	0	2	2
411.0	0	1	1
435.0	0	1	1
451.0	0	1	1
571.0	0	1	1
572.0	0	1	1

